"CoreID","Mass","formula","presence"
"GHG_03_C",225.0404198,"C10H10O6",1
"GHG_03_C",239.1288466,"C13H20O4",1
"GHG_03_C",255.2329247,"C16H32O2",1
"GHG_03_C",269.212188,"C16H30O3",1
"GHG_03_C",271.2278476,"C16H32O3",1
"GHG_03_C",283.2642271,"C18H36O2",1
"GHG_03_C",285.2070928,"C16H30O4",1
"GHG_03_C",285.2434968,"C17H34O3",1
"GHG_03_C",287.2227903,"C16H32O4",1
"GHG_03_C",293.1758208,"C17H26O4",1
"GHG_03_C",297.2435341,"C18H34O3",1
"GHG_03_C",297.2799208,"C19H38O2",1
"GHG_03_C",299.222819,"C17H32O4",1
"GHG_03_C",299.2592017,"C18H36O3",1
"GHG_03_C",301.2384346,"C17H34O4",1
"GHG_03_C",309.1707577,"C17H26O5",1
"GHG_03_C",311.2955555,"C20H40O2",1
"GHG_03_C",313.2384604,"C18H34O4",1
"GHG_03_C",313.2748697,"C19H38O3",1
"GHG_03_C",315.2176992,"C17H32O5",1
"GHG_03_C",315.2541306,"C18H36O4",1
"GHG_03_C",325.2020801,"C18H30O5",1
"GHG_03_C",325.27489,"C20H38O3",1
"GHG_03_C",325.3112736,"C21H42O2",1
"GHG_03_C",327.2177927,"C18H32O5",1
"GHG_03_C",327.2541126,"C19H36O4",1
"GHG_03_C",329.233381,"C18H34O5",1
"GHG_03_C",329.2698167,"C19H38O4",1
"GHG_03_C",330.1558952,"C15H25O7N1",1
"GHG_03_C",331.0823531,"C17H16O7",1
"GHG_03_C",331.0890152,"C11H24O7S2",1
"GHG_03_C",339.2905037,"C21H40O3",1
"GHG_03_C",341.1970439,"C18H30O6",1
"GHG_03_C",341.3061233,"C21H42O3",1
"GHG_03_C",343.2126993,"C18H32O6",1
"GHG_03_C",343.2490741,"C19H36O5",1
"GHG_03_C",343.2853978,"C20H40O4",1
"GHG_03_C",345.0616464,"C17H14O8",1
"GHG_03_C",345.2283212,"C18H34O6",1
"GHG_03_C",347.2439232,"C18H36O6",1
"GHG_03_C",348.275641,"C18H39O5N1",1
"GHG_03_C",351.3269529,"C23H44O2",1
"GHG_03_C",353.2698249,"C21H38O4",1
"GHG_03_C",353.3061586,"C22H42O3",1
"GHG_03_C",353.3425361,"C23H46O2",1
"GHG_03_C",355.2490286,"C20H36O5",1
"GHG_03_C",355.2854604,"C21H40O4",1
"GHG_03_C",357.3011039,"C21H42O4",1
"GHG_03_C",359.244005,"C19H36O6",1
"GHG_03_C",359.2802738,"C20H40O5",1
"GHG_03_C",361.25964,"C19H38O6",1
"GHG_03_C",362.2912659,"C19H41O5N1",1
"GHG_03_C",363.2509239,"C18H40O1N2S2",1
"GHG_03_C",363.2752136,"C19H40O6",1
"GHG_03_C",365.3425561,"C24H46O2",1
"GHG_03_C",367.2854803,"C22H40O4",1
"GHG_03_C",367.3217966,"C23H44O3",1
"GHG_03_C",369.3373274,"C23H46O3",1
"GHG_03_C",371.0924908,"C23H16O5",1
"GHG_03_C",371.2438897,"C20H36O6",1
"GHG_03_C",371.2804065,"C21H40O5",1
"GHG_03_C",371.3167443,"C22H44O4",1
"GHG_03_C",373.0929525,"C19H18O8",1
"GHG_03_C",373.2594955,"C20H38O6",1
"GHG_03_C",373.2959121,"C21H42O5",1
"GHG_03_C",377.3062273,"C24H42O3",1
"GHG_03_C",378.2862138,"C19H41O6N1",1
"GHG_03_C",379.3218429,"C24H44O3",1
"GHG_03_C",381.2646609,"C22H38O5",1
"GHG_03_C",381.2831624,"C23H42O2S1",1
"GHG_03_C",381.3011061,"C23H42O4",1
"GHG_03_C",381.3373541,"C24H46O3",1
"GHG_03_C",381.373878,"C25H50O2",1
"GHG_03_C",383.3166565,"C23H44O4",1
"GHG_03_C",384.301968,"C24H39O1N3",1
"GHG_03_C",385.1868119,"C19H30O8",1
"GHG_03_C",385.2596699,"C21H38O6",1
"GHG_03_C",385.2960111,"C22H42O5",1
"GHG_03_C",385.3324112,"C23H46O4",1
"GHG_03_C",387.2752584,"C21H40O6",1
"GHG_03_C",387.311704,"C22H44O5",1
"GHG_03_C",389.2909357,"C21H42O6",1
"GHG_03_C",390.2861576,"C20H41O6N1",1
"GHG_03_C",390.3225444,"C21H45O5N1",1
"GHG_03_C",392.2653131,"C19H39O7N1",1
"GHG_03_C",392.3018497,"C20H43O6N1",1
"GHG_03_C",393.2646863,"C23H38O5",1
"GHG_03_C",393.373837,"C26H50O2",1
"GHG_03_C",395.2802992,"C23H40O5",1
"GHG_03_C",395.3167102,"C24H44O4",1
"GHG_03_C",395.3530618,"C25H48O3",1
"GHG_03_C",395.389413,"C26H52O2",1
"GHG_03_C",397.2596467,"C22H38O6",1
