"Mass","formula","El_comp","Class","HC","OC","AImod","NOSC","C","H","O","N","S","P"
200.020072,"C7H7O6N1","CHON","Tannin",1,0.86,0.3333,1.1429,7,7,6,1,0,0
200.0564403,"C8H11O5N1","CHON","Lignin",1.38,0.62,0.1111,0.25,8,11,5,1,0,0
200.0928101,"C9H15O4N1","CHON","Protein",1.67,0.44,0,-0.4444,9,15,4,1,0,0
200.1292213,"C10H19O3N1","CHON","Protein",1.9,0.3,-0.0667,-1,10,19,3,1,0,0
200.9499903,"C6H2O6S1","CHOS","Other",0.33,1,1,2,6,2,6,0,1,0
201.0040892,"C7H6O7","CHO","Tannin",0.86,1,0.4286,1.1429,7,6,7,0,0,0
201.0192973,"C11H6O4","CHO","ConHC",0.55,0.36,0.7778,0.1818,11,6,4,0,0,0
201.0404621,"C8H10O6","CHO","Tannin",1.25,0.75,0.2,0.25,8,10,6,0,0,0
201.0516929,"C7H10O5N2","CHON","Tannin",1.43,0.71,-0.2,0.8571,7,10,5,2,0,0
201.0556981,"C12H10O3","CHO","Lignin",0.83,0.25,0.619,-0.3333,12,10,3,0,0,0
201.076842,"C9H14O5","CHO","AminoSugar",1.56,0.56,0.0769,-0.4444,9,14,5,0,0,0
201.0880689,"C8H14O4N2","CHON","Protein",1.75,0.5,-0.25,0,8,14,4,2,0,0
201.113231,"C10H18O4","CHO","Protein",1.8,0.4,0,-1,10,18,4,0,0,0
201.1244606,"C9H18O3N2","CHON","Protein",2,0.33,-0.2727,-0.6667,9,18,3,2,0,0
201.1496191,"C11H22O3","CHO","Lipid",2,0.27,-0.0526,-1.4545,11,22,3,0,0,0
201.945211,"C5H1O6N1S1","CHONS","Other",0.2,1.2,Inf,3.2,5,1,6,1,1,0
202.0357005,"C7H9O6N1","CHON","Tannin",1.29,0.86,0,0.8571,7,9,6,1,0,0
202.0509785,"C11H9O3N1","CHON","Lignin",0.82,0.27,0.6471,0,11,9,3,1,0,0
202.0720869,"C8H13O5N1","CHON","AminoSugar",1.62,0.62,-0.1111,0,8,13,5,1,0,0
202.083298,"C7H13O4N3","CHON","AminoSugar",1.86,0.57,-1,0.5714,7,13,4,3,0,0
202.1084858,"C9H17O4N1","CHON","Protein",1.89,0.44,-0.1667,-0.6667,9,17,4,1,0,0
202.9985985,"C10H4O5","CHO","ConHC",0.4,0.5,0.8667,0.6,10,4,5,0,0,0
203.0197316,"C7H8O7","CHO","Tannin",1.14,1,0.1429,0.8571,7,8,7,0,0,0
203.03095,"C6H8O6N2","CHON","Tannin",1.33,1,-1,1.6667,6,8,6,2,0,0
203.0349837,"C11H8O4","CHO","ConHC",0.73,0.36,0.6667,0,11,8,4,0,0,0
203.046273,"C10H8O3N2","CHON","Lignin",0.8,0.3,0.6923,0.4,10,8,3,2,0,0
203.0561171,"C8H12O6","CHO","Carb",1.5,0.75,0,0,8,12,6,0,0,0
203.0673497,"C7H12O5N2","CHON","Carb",1.71,0.71,-0.6,0.5714,7,12,5,2,0,0
203.0713551,"C12H12O3","CHO","Lignin",1,0.25,0.5238,-0.5,12,12,3,0,0,0
203.082565,"C11H12O2N2","CHON","Lignin",1.09,0.18,0.5,-0.1818,11,12,2,2,0,0
203.0924931,"C9H16O5","CHO","AminoSugar",1.78,0.56,-0.0769,-0.6667,9,16,5,0,0,0
203.1037217,"C8H16O4N2","CHON","Protein",2,0.5,-0.5,-0.25,8,16,4,2,0,0
203.107757,"C13H16O2","CHO","Lignin",1.23,0.15,0.4167,-0.9231,13,16,2,0,0,0
203.128868,"C10H20O4","CHO","Protein",2,0.4,-0.125,-1.2,10,20,4,0,0,0
204.014976,"C6H7O7N1","CHON","Other",1.17,1.17,-0.3333,1.6667,6,7,7,1,0,0
204.0302453,"C10H7O4N1","CHON","ConHC",0.7,0.4,0.7143,0.4,10,7,4,1,0,0
204.0513611,"C7H11O6N1","CHON","Carb",1.57,0.86,-0.3333,0.5714,7,11,6,1,0,0
204.0666298,"C11H11O3N1","CHON","Lignin",1,0.27,0.5294,-0.1818,11,11,3,1,0,0
204.0877655,"C8H15O5N1","CHON","AminoSugar",1.88,0.62,-0.3333,-0.25,8,15,5,1,0,0
205.0142589,"C10H6O5","CHO","ConHC",0.6,0.5,0.7333,0.4,10,6,5,0,0,0
205.0353962,"C7H10O7","CHO","Tannin",1.43,1,-0.1429,0.5714,7,10,7,0,0,0
205.0506356,"C11H10O4","CHO","Lignin",0.91,0.36,0.5556,-0.1818,11,10,4,0,0,0
205.061862,"C10H10O3N2","CHON","Lignin",1,0.3,0.5385,0.2,10,10,3,2,0,0
205.0717552,"C8H14O6","CHO","Carb",1.75,0.75,-0.2,-0.25,8,14,6,0,0,0
205.0830198,"C7H14O5N2","CHON","Carb",2,0.71,-1,0.2857,7,14,5,2,0,0
205.0870176,"C12H14O3","CHO","Lignin",1.17,0.25,0.4286,-0.6667,12,14,3,0,0,0
205.1081436,"C9H18O5","CHO","AminoSugar",2,0.56,-0.2308,-0.8889,9,18,5,0,0,0
205.1233901,"C13H18O2","CHO","Lignin",1.38,0.15,0.3333,-1.0769,13,18,2,0,0,0
205.1597854,"C14H22O1","CHO","Lipid",1.57,0.07,0.2593,-1.4286,14,22,1,0,0,0
206.0095035,"C9H5O5N1","CHON","ConHC",0.56,0.56,0.8182,0.8889,9,5,5,1,0,0
206.024704,"C13H5O2N1","CHON","ConHC",0.38,0.15,0.9091,0.1538,13,5,2,1,0,0
206.0458707,"C10H9O4N1","CHON","Lignin",0.9,0.4,0.5714,0.2,10,9,4,1,0,0
206.082257,"C11H13O3N1","CHON","Lignin",1.18,0.27,0.4118,-0.3636,11,13,3,1,0,0
206.9935161,"C9H4O6","CHO","ConHC",0.44,0.67,0.8333,0.8889,9,4,6,0,0,0
207.0121438,"C10H8O3S1","CHOS","Lignin",0.8,0.3,0.6,0,10,8,3,0,1,0
207.0299073,"C10H8O5","CHO","Lignin",0.8,0.5,0.6,0.2,10,8,5,0,0,0
207.0411458,"C9H8O4N2","CHON","Lignin",0.89,0.44,0.6,0.6667,9,8,4,2,0,0
207.0510369,"C7H12O7","CHO","Carb",1.71,1,-0.4286,0.2857,7,12,7,0,0,0
207.0662818,"C11H12O4","CHO","Lignin",1.09,0.36,0.4444,-0.3636,11,12,4,0,0,0
207.0874217,"C8H16O6","CHO","Carb",2,0.75,-0.4,-0.5,8,16,6,0,0,0
207.1026686,"C12H16O3","CHO","Lignin",1.33,0.25,0.3333,-0.8333,12,16,3,0,0,0
207.1390844,"C13H20O2","CHO","Lipid",1.54,0.15,0.25,-1.2308,13,20,2,0,0,0
208.0251462,"C9H7O5N1","CHON","ConHC",0.78,0.56,0.6364,0.6667,9,7,5,1,0,0
208.061525,"C10H11O4N1","CHON","Lignin",1.1,0.4,0.4286,0,10,11,4,1,0,0
208.097862,"C11H15O3N1","CHON","Lignin",1.36,0.27,0.2941,-0.5455,11,15,3,1,0,0
209.0091526,"C9H6O6","CHO","ConHC",0.67,0.67,0.6667,0.6667,9,6,6,0,0,0
209.020422,"C8H6O5N2","CHON","ConHC",0.75,0.62,0.7143,1.25,8,6,5,2,0,0
209.023724,"C5H10O5N2S1","CHONS","Carb",2,1,7,1.6,5,10,5,2,1,0
209.045552,"C10H10O5","CHO","Lignin",1,0.5,0.4667,0,10,10,5,0,0,0
209.0488857,"C7H14O5S1","CHOS","Carb",2,0.71,-0.7143,-0.2857,7,14,5,0,1,0
209.056776,"C9H10O4N2","CHON","Lignin",1.11,0.44,0.4,0.4444,9,10,4,2,0,0
209.066685,"C7H14O7","CHO","Carb",2,1,-0.7143,0,7,14,7,0,0,0
209.0819341,"C11H14O4","CHO","Lignin",1.27,0.36,0.3333,-0.5455,11,14,4,0,0,0
209.085332,"C8H18O4S1","CHOS","Protein",2.25,0.5,-0.6,-1,8,18,4,0,1,0
209.09481,"C8H19O4P1","CHOP","Other",2.38,0.5,-0.6,-1.375,8,19,4,0,0,1
209.1183175,"C12H18O3","CHO","Lipid",1.5,0.25,0.2381,-1,12,18,3,0,0,0
209.154693,"C13H22O2","CHO","Lipid",1.69,0.15,0.1667,-1.3846,13,22,2,0,0,0
210.004423,"C8H5O6N1","CHON","ConHC",0.62,0.75,0.75,1.25,8,5,6,1,0,0
210.0408152,"C9H9O5N1","CHON","Lignin",1,0.56,0.4545,0.4444,9,9,5,1,0,0
210.0771304,"C10H13O4N1","CHON","Lignin",1.3,0.4,0.2857,-0.2,10,13,4,1,0,0
211.0248264,"C9H8O6","CHO","Tannin",0.89,0.67,0.5,0.4444,9,8,6,0,0,0
211.061204,"C10H12O5","CHO","Lignin",1.2,0.5,0.3333,-0.2,10,12,5,0,0,0
211.0724273,"C9H12O4N2","CHON","Lignin",1.33,0.44,0.2,0.2222,9,12,4,2,0,0
211.0823252,"C7H16O7","CHO","Other",2.29,1,-1,-0.2857,7,16,7,0,0,0
211.0975873,"C11H16O4","CHO","Lignin",1.45,0.36,0.2222,-0.7273,11,16,4,0,0,0
211.133968,"C12H20O3","CHO","Lipid",1.67,0.25,0.1429,-1.1667,12,20,3,0,0,0
211.1703516,"C13H24O2","CHO","Lipid",1.85,0.15,0.0833,-1.5385,13,24,2,0,0,0
212.0200316,"C8H7O6N1","CHON","Tannin",0.88,0.75,0.5,1,8,7,6,1,0,0
212.031345,"C7H7O5N3","CHON","Tannin",1,0.71,0.3333,1.7143,7,7,5,3,0,0
212.0564653,"C9H11O5N1","CHON","Lignin",1.22,0.56,0.2727,0.2222,9,11,5,1,0,0
212.0750728,"C10H15O2N1S1","CHONS","Lipid",1.5,0.2,0.1429,-0.6,10,15,2,1,1,0
212.0928541,"C10H15O4N1","CHON","Protein",1.5,0.4,0.1429,-0.4,10,15,4,1,0,0
212.935507,"C4H6O4S3","CHOS","Carb",1.5,1,3,2,4,6,4,0,3,0
212.999251,"C5H11O5S1P1","CHOSP","Other",2.2,1,-7,0.2,5,11,5,0,1,1
213.0040687,"C8H6O7","CHO","ConHC",0.75,0.88,0.5556,1,8,6,7,0,0,0
213.0227345,"C9H10O4S1","CHOS","Lignin",1.11,0.44,0.3333,0,9,10,4,0,1,0
