"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
201.113245,"C10H18O4","CHO",1.8,0.4,0,-1,10,18,4,0,0,0,"aliphatic"
201.14965,"C11H22O3","CHO",2,0.27,-0.0526,-1.4545,11,22,3,0,0,0,"aliphatic"
203.092557,"C9H16O5","CHO",1.78,0.56,-0.0769,-0.6667,9,16,5,0,0,0,"aliphatic"
203.1289035,"C10H20O4","CHO",2,0.4,-0.125,-1.2,10,20,4,0,0,0,"aliphatic"
204.971327,"C8H2O3N2S1","CHONS",0.25,0.38,1.2857,1.5,8,2,3,2,1,0,"condensed aromatic"
204.996429,"C10H6O3S1","CHOS",0.6,0.3,0.7333,0.2,10,6,3,0,1,0,"condensed aromatic"
206.042704,"C6H13O1N3S2","CHONS",2.17,0.17,-7,0.3333,6,13,1,3,2,0,"aliphatic"
207.029939,"C10H8O5","CHO",0.8,0.5,0.6,0.2,10,8,5,0,0,0,"aromatic"
209.045506,"C10H10O5","CHO",1,0.5,0.4667,0,10,10,5,0,0,0,"unsaturated/lignin"
209.081975,"C11H14O4","CHO",1.27,0.36,0.3333,-0.5455,11,14,4,0,0,0,"unsaturated/lignin"
210.956277,"C5H8O3S3","CHOS",1.6,0.6,-5,0.8,5,8,3,0,3,0,"aliphatic"
211.0248242,"C9H8O6","CHO",0.89,0.67,0.5,0.4444,9,8,6,0,0,0,"unsaturated/lignin"
211.0611985,"C10H12O5","CHO",1.2,0.5,0.3333,-0.2,10,12,5,0,0,0,"unsaturated/lignin"
211.134016,"C12H20O3","CHO",1.67,0.25,0.1429,-1.1667,12,20,3,0,0,0,"aliphatic"
213.0152555,"C7H6O6N2","CHON",0.86,0.86,0.5,1.7143,7,6,6,2,0,0,"unsaturated/lignin"
213.1131901,"C11H18O4","CHO",1.64,0.36,0.1111,-0.9091,11,18,4,0,0,0,"aliphatic"
213.1496667,"C12H22O3","CHO",1.83,0.25,0.0476,-1.3333,12,22,3,0,0,0,"aliphatic"
213.186025,"C13H26O2","CHO",2,0.15,0,-1.6923,13,26,2,0,0,0,"aliphatic"
215.092507,"C10H16O5","CHO",1.6,0.5,0.0667,-0.6,10,16,5,0,0,0,"aliphatic"
215.1288947,"C11H20O4","CHO",1.82,0.36,0,-1.0909,11,20,4,0,0,0,"aliphatic"
215.1653062,"C12H24O3","CHO",2,0.25,-0.0476,-1.5,12,24,3,0,0,0,"aliphatic"
217.1081315,"C10H18O5","CHO",1.8,0.5,-0.0667,-0.8,10,18,5,0,0,0,"aliphatic"
217.134675,"C13H18O1N2","CHON",1.38,0.08,0.3333,-0.7692,13,18,1,2,0,0,"unsaturated/lignin"
218.078286,"C7H13O5N3","CHON",1.86,0.71,-1.6667,0.8571,7,13,5,3,0,0,"aliphatic"
219.066331,"C12H12O4","CHO",1,0.33,0.5,-0.3333,12,12,4,0,0,0,"unsaturated/lignin"
219.134982,"C9H20O4N2","CHON",2.22,0.44,-0.6,-0.6667,9,20,4,2,0,0,"aliphatic"
219.153639,"C10H24O1N2S1","CHONS",2.4,0.1,-0.5385,-1.4,10,24,1,2,1,0,"aliphatic"
219.958767,"C4H4O4N3S1P1","CHONSP",1,1,0.6667,3.75,4,4,4,3,1,1,"condensed aromatic"
219.970987,"C9H3O4N1S1","CHONS",0.33,0.44,1,1.1111,9,3,4,1,1,0,"condensed aromatic"
220.966292,"C8H2O4N2S1","CHONS",0.25,0.5,1.3333,1.75,8,2,4,2,1,0,"condensed aromatic"
