"Mass","formula","HC","OC"
200.020072,"C7H7O6N1",1,0.86
200.0564403,"C8H11O5N1",1.38,0.62
200.0928101,"C9H15O4N1",1.67,0.44
200.1292213,"C10H19O3N1",1.9,0.3
200.9499903,"C6H2O6S1",0.33,1
201.0040892,"C7H6O7",0.86,1
201.0192973,"C11H6O4",0.55,0.36
201.0404621,"C8H10O6",1.25,0.75
201.0516929,"C7H10O5N2",1.43,0.71
201.0556981,"C12H10O3",0.83,0.25
201.076842,"C9H14O5",1.56,0.56
201.0880689,"C8H14O4N2",1.75,0.5
201.113231,"C10H18O4",1.8,0.4
201.1244606,"C9H18O3N2",2,0.33
201.1496191,"C11H22O3",2,0.27
201.945211,"C5H1O6N1S1",0.2,1.2
202.0357005,"C7H9O6N1",1.29,0.86
202.0509785,"C11H9O3N1",0.82,0.27
202.0720869,"C8H13O5N1",1.62,0.62
202.083298,"C7H13O4N3",1.86,0.57
202.1084858,"C9H17O4N1",1.89,0.44
202.9985985,"C10H4O5",0.4,0.5
203.0197316,"C7H8O7",1.14,1
203.03095,"C6H8O6N2",1.33,1
203.0349837,"C11H8O4",0.73,0.36
203.046273,"C10H8O3N2",0.8,0.3
203.0561171,"C8H12O6",1.5,0.75
203.0673497,"C7H12O5N2",1.71,0.71
203.0713551,"C12H12O3",1,0.25
203.082565,"C11H12O2N2",1.09,0.18
203.0924931,"C9H16O5",1.78,0.56
203.1037217,"C8H16O4N2",2,0.5
203.107757,"C13H16O2",1.23,0.15
203.128868,"C10H20O4",2,0.4
204.014976,"C6H7O7N1",1.17,1.17
204.0302453,"C10H7O4N1",0.7,0.4
204.0513611,"C7H11O6N1",1.57,0.86
204.0666298,"C11H11O3N1",1,0.27
204.0877655,"C8H15O5N1",1.88,0.62
205.0142589,"C10H6O5",0.6,0.5
205.0353962,"C7H10O7",1.43,1
205.0506356,"C11H10O4",0.91,0.36
205.061862,"C10H10O3N2",1,0.3
205.0717552,"C8H14O6",1.75,0.75
205.0830198,"C7H14O5N2",2,0.71
205.0870176,"C12H14O3",1.17,0.25
205.1081436,"C9H18O5",2,0.56
