"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
200.020072,"C7H7O6N1","CHON",1,0.86,0.3333,1.1429,7,7,6,1,0,0,"unsaturated/lignin"
200.0564403,"C8H11O5N1","CHON",1.38,0.62,0.1111,0.25,8,11,5,1,0,0,"unsaturated/lignin"
200.0928101,"C9H15O4N1","CHON",1.67,0.44,0,-0.4444,9,15,4,1,0,0,"aliphatic"
200.1292213,"C10H19O3N1","CHON",1.9,0.3,-0.0667,-1,10,19,3,1,0,0,"aliphatic"
200.9499903,"C6H2O6S1","CHOS",0.33,1,1,2,6,2,6,0,1,0,"condensed aromatic"
201.0040892,"C7H6O7","CHO",0.86,1,0.4286,1.1429,7,6,7,0,0,0,"unsaturated/lignin"
201.0192973,"C11H6O4","CHO",0.55,0.36,0.7778,0.1818,11,6,4,0,0,0,"condensed aromatic"
201.0404621,"C8H10O6","CHO",1.25,0.75,0.2,0.25,8,10,6,0,0,0,"unsaturated/lignin"
201.0516929,"C7H10O5N2","CHON",1.43,0.71,-0.2,0.8571,7,10,5,2,0,0,"unsaturated/lignin"
201.0556981,"C12H10O3","CHO",0.83,0.25,0.619,-0.3333,12,10,3,0,0,0,"aromatic"
201.076842,"C9H14O5","CHO",1.56,0.56,0.0769,-0.4444,9,14,5,0,0,0,"aliphatic"
201.0880689,"C8H14O4N2","CHON",1.75,0.5,-0.25,0,8,14,4,2,0,0,"aliphatic"
201.113231,"C10H18O4","CHO",1.8,0.4,0,-1,10,18,4,0,0,0,"aliphatic"
201.1244606,"C9H18O3N2","CHON",2,0.33,-0.2727,-0.6667,9,18,3,2,0,0,"aliphatic"
201.1496191,"C11H22O3","CHO",2,0.27,-0.0526,-1.4545,11,22,3,0,0,0,"aliphatic"
201.945211,"C5H1O6N1S1","CHONS",0.2,1.2,Inf,3.2,5,1,6,1,1,0,"condensed aromatic"
202.0357005,"C7H9O6N1","CHON",1.29,0.86,0,0.8571,7,9,6,1,0,0,"unsaturated/lignin"
202.0509785,"C11H9O3N1","CHON",0.82,0.27,0.6471,0,11,9,3,1,0,0,"aromatic"
202.0720869,"C8H13O5N1","CHON",1.62,0.62,-0.1111,0,8,13,5,1,0,0,"aliphatic"
202.083298,"C7H13O4N3","CHON",1.86,0.57,-1,0.5714,7,13,4,3,0,0,"aliphatic"
202.1084858,"C9H17O4N1","CHON",1.89,0.44,-0.1667,-0.6667,9,17,4,1,0,0,"aliphatic"
202.9985985,"C10H4O5","CHO",0.4,0.5,0.8667,0.6,10,4,5,0,0,0,"condensed aromatic"
203.0197316,"C7H8O7","CHO",1.14,1,0.1429,0.8571,7,8,7,0,0,0,"unsaturated/lignin"
203.03095,"C6H8O6N2","CHON",1.33,1,-1,1.6667,6,8,6,2,0,0,"unsaturated/lignin"
203.0349837,"C11H8O4","CHO",0.73,0.36,0.6667,0,11,8,4,0,0,0,"condensed aromatic"
203.046273,"C10H8O3N2","CHON",0.8,0.3,0.6923,0.4,10,8,3,2,0,0,"condensed aromatic"
203.0561171,"C8H12O6","CHO",1.5,0.75,0,0,8,12,6,0,0,0,"aliphatic"
203.0673497,"C7H12O5N2","CHON",1.71,0.71,-0.6,0.5714,7,12,5,2,0,0,"aliphatic"
203.0713551,"C12H12O3","CHO",1,0.25,0.5238,-0.5,12,12,3,0,0,0,"aromatic"
203.082565,"C11H12O2N2","CHON",1.09,0.18,0.5,-0.1818,11,12,2,2,0,0,"unsaturated/lignin"
203.0924931,"C9H16O5","CHO",1.78,0.56,-0.0769,-0.6667,9,16,5,0,0,0,"aliphatic"
203.1037217,"C8H16O4N2","CHON",2,0.5,-0.5,-0.25,8,16,4,2,0,0,"aliphatic"
203.107757,"C13H16O2","CHO",1.23,0.15,0.4167,-0.9231,13,16,2,0,0,0,"unsaturated/lignin"
203.128868,"C10H20O4","CHO",2,0.4,-0.125,-1.2,10,20,4,0,0,0,"aliphatic"
204.014976,"C6H7O7N1","CHON",1.17,1.17,-0.3333,1.6667,6,7,7,1,0,0,"unsaturated/lignin"
204.0302453,"C10H7O4N1","CHON",0.7,0.4,0.7143,0.4,10,7,4,1,0,0,"condensed aromatic"
204.0513611,"C7H11O6N1","CHON",1.57,0.86,-0.3333,0.5714,7,11,6,1,0,0,"aliphatic"
204.0666298,"C11H11O3N1","CHON",1,0.27,0.5294,-0.1818,11,11,3,1,0,0,"aromatic"
204.0877655,"C8H15O5N1","CHON",1.88,0.62,-0.3333,-0.25,8,15,5,1,0,0,"aliphatic"
205.0142589,"C10H6O5","CHO",0.6,0.5,0.7333,0.4,10,6,5,0,0,0,"condensed aromatic"
205.0353962,"C7H10O7","CHO",1.43,1,-0.1429,0.5714,7,10,7,0,0,0,"unsaturated/lignin"
205.0506356,"C11H10O4","CHO",0.91,0.36,0.5556,-0.1818,11,10,4,0,0,0,"aromatic"
205.061862,"C10H10O3N2","CHON",1,0.3,0.5385,0.2,10,10,3,2,0,0,"aromatic"
205.0717552,"C8H14O6","CHO",1.75,0.75,-0.2,-0.25,8,14,6,0,0,0,"aliphatic"
205.0830198,"C7H14O5N2","CHON",2,0.71,-1,0.2857,7,14,5,2,0,0,"aliphatic"
205.0870176,"C12H14O3","CHO",1.17,0.25,0.4286,-0.6667,12,14,3,0,0,0,"unsaturated/lignin"
205.1081436,"C9H18O5","CHO",2,0.56,-0.2308,-0.8889,9,18,5,0,0,0,"aliphatic"
205.1233901,"C13H18O2","CHO",1.38,0.15,0.3333,-1.0769,13,18,2,0,0,0,"unsaturated/lignin"
205.1597854,"C14H22O1","CHO",1.57,0.07,0.2593,-1.4286,14,22,1,0,0,0,"aliphatic"
206.0095035,"C9H5O5N1","CHON",0.56,0.56,0.8182,0.8889,9,5,5,1,0,0,"condensed aromatic"
206.024704,"C13H5O2N1","CHON",0.38,0.15,0.9091,0.1538,13,5,2,1,0,0,"condensed aromatic"
206.0458707,"C10H9O4N1","CHON",0.9,0.4,0.5714,0.2,10,9,4,1,0,0,"aromatic"
206.082257,"C11H13O3N1","CHON",1.18,0.27,0.4118,-0.3636,11,13,3,1,0,0,"unsaturated/lignin"
206.9935161,"C9H4O6","CHO",0.44,0.67,0.8333,0.8889,9,4,6,0,0,0,"condensed aromatic"
207.0121438,"C10H8O3S1","CHOS",0.8,0.3,0.6,0,10,8,3,0,1,0,"aromatic"
207.0299073,"C10H8O5","CHO",0.8,0.5,0.6,0.2,10,8,5,0,0,0,"aromatic"
207.0411458,"C9H8O4N2","CHON",0.89,0.44,0.6,0.6667,9,8,4,2,0,0,"aromatic"
207.0510369,"C7H12O7","CHO",1.71,1,-0.4286,0.2857,7,12,7,0,0,0,"aliphatic"
207.0662818,"C11H12O4","CHO",1.09,0.36,0.4444,-0.3636,11,12,4,0,0,0,"unsaturated/lignin"
207.0874217,"C8H16O6","CHO",2,0.75,-0.4,-0.5,8,16,6,0,0,0,"aliphatic"
207.1026686,"C12H16O3","CHO",1.33,0.25,0.3333,-0.8333,12,16,3,0,0,0,"unsaturated/lignin"
207.1390844,"C13H20O2","CHO",1.54,0.15,0.25,-1.2308,13,20,2,0,0,0,"aliphatic"
208.0251462,"C9H7O5N1","CHON",0.78,0.56,0.6364,0.6667,9,7,5,1,0,0,"aromatic"
208.061525,"C10H11O4N1","CHON",1.1,0.4,0.4286,0,10,11,4,1,0,0,"unsaturated/lignin"
208.097862,"C11H15O3N1","CHON",1.36,0.27,0.2941,-0.5455,11,15,3,1,0,0,"unsaturated/lignin"
209.0091526,"C9H6O6","CHO",0.67,0.67,0.6667,0.6667,9,6,6,0,0,0,"condensed aromatic"
209.020422,"C8H6O5N2","CHON",0.75,0.62,0.7143,1.25,8,6,5,2,0,0,"condensed aromatic"
209.023724,"C5H10O5N2S1","CHONS",2,1,7,1.6,5,10,5,2,1,0,"condensed aromatic"
209.045552,"C10H10O5","CHO",1,0.5,0.4667,0,10,10,5,0,0,0,"unsaturated/lignin"
209.0488857,"C7H14O5S1","CHOS",2,0.71,-0.7143,-0.2857,7,14,5,0,1,0,"aliphatic"
209.056776,"C9H10O4N2","CHON",1.11,0.44,0.4,0.4444,9,10,4,2,0,0,"unsaturated/lignin"
209.066685,"C7H14O7","CHO",2,1,-0.7143,0,7,14,7,0,0,0,"aliphatic"
209.0819341,"C11H14O4","CHO",1.27,0.36,0.3333,-0.5455,11,14,4,0,0,0,"unsaturated/lignin"
209.085332,"C8H18O4S1","CHOS",2.25,0.5,-0.6,-1,8,18,4,0,1,0,"aliphatic"
209.09481,"C8H19O4P1","CHOP",2.38,0.5,-0.6,-1.375,8,19,4,0,0,1,"aliphatic"
209.1183175,"C12H18O3","CHO",1.5,0.25,0.2381,-1,12,18,3,0,0,0,"aliphatic"
209.154693,"C13H22O2","CHO",1.69,0.15,0.1667,-1.3846,13,22,2,0,0,0,"aliphatic"
210.004423,"C8H5O6N1","CHON",0.62,0.75,0.75,1.25,8,5,6,1,0,0,"condensed aromatic"
210.0408152,"C9H9O5N1","CHON",1,0.56,0.4545,0.4444,9,9,5,1,0,0,"unsaturated/lignin"
210.0771304,"C10H13O4N1","CHON",1.3,0.4,0.2857,-0.2,10,13,4,1,0,0,"unsaturated/lignin"
211.0248264,"C9H8O6","CHO",0.89,0.67,0.5,0.4444,9,8,6,0,0,0,"unsaturated/lignin"
211.061204,"C10H12O5","CHO",1.2,0.5,0.3333,-0.2,10,12,5,0,0,0,"unsaturated/lignin"
211.0724273,"C9H12O4N2","CHON",1.33,0.44,0.2,0.2222,9,12,4,2,0,0,"unsaturated/lignin"
211.0823252,"C7H16O7","CHO",2.29,1,-1,-0.2857,7,16,7,0,0,0,"aliphatic"
211.0975873,"C11H16O4","CHO",1.45,0.36,0.2222,-0.7273,11,16,4,0,0,0,"unsaturated/lignin"
211.133968,"C12H20O3","CHO",1.67,0.25,0.1429,-1.1667,12,20,3,0,0,0,"aliphatic"
211.1703516,"C13H24O2","CHO",1.85,0.15,0.0833,-1.5385,13,24,2,0,0,0,"aliphatic"
212.0200316,"C8H7O6N1","CHON",0.88,0.75,0.5,1,8,7,6,1,0,0,"unsaturated/lignin"
212.031345,"C7H7O5N3","CHON",1,0.71,0.3333,1.7143,7,7,5,3,0,0,"unsaturated/lignin"
212.0564653,"C9H11O5N1","CHON",1.22,0.56,0.2727,0.2222,9,11,5,1,0,0,"unsaturated/lignin"
212.0750728,"C10H15O2N1S1","CHONS",1.5,0.2,0.1429,-0.6,10,15,2,1,1,0,"aliphatic"
212.0928541,"C10H15O4N1","CHON",1.5,0.4,0.1429,-0.4,10,15,4,1,0,0,"aliphatic"
212.935507,"C4H6O4S3","CHOS",1.5,1,3,2,4,6,4,0,3,0,"condensed aromatic"
212.999251,"C5H11O5S1P1","CHOSP",2.2,1,-7,0.2,5,11,5,0,1,1,"aliphatic"
213.0040687,"C8H6O7","CHO",0.75,0.88,0.5556,1,8,6,7,0,0,0,"aromatic"
213.0227345,"C9H10O4S1","CHOS",1.11,0.44,0.3333,0,9,10,4,0,1,0,"unsaturated/lignin"
213.0404717,"C9H10O6","CHO",1.11,0.67,0.3333,0.2222,9,10,6,0,0,0,"unsaturated/lignin"
213.0516861,"C8H10O5N2","CHON",1.25,0.62,0.1429,0.75,8,10,5,2,0,0,"unsaturated/lignin"
213.0557226,"C13H10O3","CHO",0.77,0.23,0.6522,-0.3077,13,10,3,0,0,0,"aromatic"
213.0768558,"C10H14O5","CHO",1.4,0.5,0.2,-0.4,10,14,5,0,0,0,"unsaturated/lignin"
213.0880897,"C9H14O4N2","CHON",1.56,0.44,0,0,9,14,4,2,0,0,"aliphatic"
213.09214,"C14H14O2","CHO",1,0.14,0.5385,-0.7143,14,14,2,0,0,0,"aromatic"
213.1132418,"C11H18O4","CHO",1.64,0.36,0.1111,-0.9091,11,18,4,0,0,0,"aliphatic"
213.1244442,"C10H18O3N2","CHON",1.8,0.3,-0.0769,-0.6,10,18,3,2,0,0,"aliphatic"
213.1496209,"C12H22O3","CHO",1.83,0.25,0.0476,-1.3333,12,22,3,0,0,0,"aliphatic"
213.1860096,"C13H26O2","CHO",2,0.15,0,-1.6923,13,26,2,0,0,0,"aliphatic"
214.0357059,"C8H9O6N1","CHON",1.12,0.75,0.25,0.75,8,9,6,1,0,0,"unsaturated/lignin"
214.0486243,"C5H14O6N1P1","CHONP",2.8,1.2,-Inf,0.2,5,14,6,1,0,1,"aliphatic"
214.0721048,"C9H13O5N1","CHON",1.44,0.56,0.0909,0,9,13,5,1,0,0,"unsaturated/lignin"
214.087366,"C13H13O2N1","CHON",1,0.15,0.5455,-0.4615,13,13,2,1,0,0,"aromatic"
214.1084962,"C10H17O4N1","CHON",1.7,0.4,0,-0.6,10,17,4,1,0,0,"aliphatic"
214.1448562,"C11H21O3N1","CHON",1.91,0.27,-0.0588,-1.0909,11,21,3,1,0,0,"aliphatic"
214.930056,"C7H4O2S3","CHOS",0.57,0.29,0.6667,0.8571,7,4,2,0,3,0,"condensed aromatic"
214.965568,"C7H4O6S1","CHOS",0.57,0.86,0.6667,1.4286,7,4,6,0,1,0,"condensed aromatic"
214.980856,"C11H4O3S1","CHOS",0.36,0.27,0.8824,0.3636,11,4,3,0,1,0,"condensed aromatic"
215.001992,"C8H8O5S1","CHOS",1,0.62,0.3333,0.5,8,8,5,0,1,0,"unsaturated/lignin"
215.0197379,"C8H8O7","CHO",1,0.88,0.3333,0.75,8,8,7,0,0,0,"unsaturated/lignin"
215.0309745,"C7H8O6N2","CHON",1.14,0.86,0,1.4286,7,8,6,2,0,0,"unsaturated/lignin"
215.0350049,"C12H8O4","CHO",0.67,0.33,0.7,0,12,8,4,0,0,0,"condensed aromatic"
215.0561193,"C9H12O6","CHO",1.33,0.67,0.1667,0,9,12,6,0,0,0,"unsaturated/lignin"
215.0673501,"C8H12O5N2","CHON",1.5,0.62,-0.1429,0.5,8,12,5,2,0,0,"aliphatic"
215.071385,"C13H12O3","CHO",0.92,0.23,0.5652,-0.4615,13,12,3,0,0,0,"aromatic"
215.0925081,"C10H16O5","CHO",1.6,0.5,0.0667,-0.6,10,16,5,0,0,0,"aliphatic"
215.1037086,"C9H16O4N2","CHON",1.78,0.44,-0.2,-0.2222,9,16,4,2,0,0,"aliphatic"
215.1288825,"C11H20O4","CHO",1.82,0.36,0,-1.0909,11,20,4,0,0,0,"aliphatic"
215.1401058,"C10H20O3N2","CHON",2,0.3,-0.2308,-0.8,10,20,3,2,0,0,"aliphatic"
215.1652622,"C12H24O3","CHO",2,0.25,-0.0476,-1.5,12,24,3,0,0,0,"aliphatic"
216.03023,"C11H7O4N1","CHON",0.64,0.36,0.75,0.3636,11,7,4,1,0,0,"condensed aromatic"
216.0513592,"C8H11O6N1","CHON",1.38,0.75,0,0.5,8,11,6,1,0,0,"unsaturated/lignin"
216.066667,"C12H11O3N1","CHON",0.92,0.25,0.5789,-0.1667,12,11,3,1,0,0,"aromatic"
216.0877749,"C9H15O5N1","CHON",1.67,0.56,-0.0909,-0.2222,9,15,5,1,0,0,"aliphatic"
216.0989691,"C8H15O4N3","CHON",1.88,0.5,-0.6667,0.25,8,15,4,3,0,0,"aliphatic"
216.1241418,"C10H19O4N1","CHON",1.9,0.4,-0.1429,-0.8,10,19,4,1,0,0,"aliphatic"
217.0142603,"C11H6O5","CHO",0.55,0.45,0.7647,0.3636,11,6,5,0,0,0,"condensed aromatic"
217.017674,"C8H10O5S1","CHOS",1.25,0.62,0.1111,0.25,8,10,5,0,1,0,"unsaturated/lignin"
217.028913,"C7H10O4N2S1","CHONS",1.43,0.57,-0.5,0.8571,7,10,4,2,1,0,"unsaturated/lignin"
217.0353783,"C8H10O7","CHO",1.25,0.88,0.1111,0.5,8,10,7,0,0,0,"unsaturated/lignin"
217.0466122,"C7H10O6N2","CHON",1.43,0.86,-0.5,1.1429,7,10,6,2,0,0,"unsaturated/lignin"
217.0506299,"C12H10O4","CHO",0.83,0.33,0.6,-0.1667,12,10,4,0,0,0,"aromatic"
217.061927,"C11H10O3N2","CHON",0.91,0.27,0.6,0.1818,11,10,3,2,0,0,"aromatic"
217.0717798,"C9H14O6","CHO",1.56,0.67,0,-0.2222,9,14,6,0,0,0,"aliphatic"
217.0830057,"C8H14O5N2","CHON",1.75,0.62,-0.4286,0.25,8,14,5,2,0,0,"aliphatic"
217.0870373,"C13H14O3","CHO",1.08,0.23,0.4783,-0.6154,13,14,3,0,0,0,"unsaturated/lignin"
217.1081544,"C10H18O5","CHO",1.8,0.5,-0.0667,-0.8,10,18,5,0,0,0,"aliphatic"
217.1193827,"C9H18O4N2","CHON",2,0.44,-0.4,-0.4444,9,18,4,2,0,0,"aliphatic"
217.1234295,"C14H18O2","CHO",1.29,0.14,0.3846,-1,14,18,2,0,0,0,"unsaturated/lignin"
217.1445464,"C11H22O4","CHO",2,0.36,-0.1111,-1.2727,11,22,4,0,0,0,"aliphatic"
217.969977,"C5H5O3N3S2","CHONS",1,0.6,1,2.8,5,5,3,3,2,0,"condensed aromatic"
218.0306631,"C7H9O7N1","CHON",1.29,1,-0.2,1.1429,7,9,7,1,0,0,"unsaturated/lignin"
218.0458872,"C11H9O4N1","CHON",0.82,0.36,0.625,0.1818,11,9,4,1,0,0,"aromatic"
218.0670244,"C8H13O6N1","CHON",1.62,0.75,-0.25,0.25,8,13,6,1,0,0,"aliphatic"
218.1034083,"C9H17O5N1","CHON",1.89,0.56,-0.2727,-0.4444,9,17,5,1,0,0,"aliphatic"
218.990958,"C14H4O1S1","CHOS",0.29,0.07,0.92,0,14,4,1,0,1,0,"condensed aromatic"
219.0146594,"C7H8O8","CHO",1.14,1.14,0,1.1429,7,8,8,0,0,0,"unsaturated/lignin"
219.0299234,"C11H8O5","CHO",0.73,0.45,0.6471,0.1818,11,8,5,0,0,0,"aromatic"
219.041175,"C10H8O4N2","CHON",0.8,0.4,0.6667,0.6,10,8,4,2,0,0,"condensed aromatic"
219.0510384,"C8H12O7","CHO",1.5,0.88,-0.1111,0.25,8,12,7,0,0,0,"aliphatic"
219.0622718,"C7H12O6N2","CHON",1.71,0.86,-1,0.8571,7,12,6,2,0,0,"aliphatic"
219.066288,"C12H12O4","CHO",1,0.33,0.5,-0.3333,12,12,4,0,0,0,"unsaturated/lignin"
219.0874221,"C9H16O6","CHO",1.78,0.67,-0.1667,-0.4444,9,16,6,0,0,0,"aliphatic"
219.0986425,"C8H16O5N2","CHON",2,0.62,-0.7143,0,8,16,5,2,0,0,"aliphatic"
219.102683,"C13H16O3","CHO",1.23,0.23,0.3913,-0.7692,13,16,3,0,0,0,"unsaturated/lignin"
219.1237771,"C10H20O5","CHO",2,0.5,-0.2,-1,10,20,5,0,0,0,"aliphatic"
219.139036,"C14H20O2","CHO",1.43,0.14,0.3077,-1.1429,14,20,2,0,0,0,"unsaturated/lignin"
219.175445,"C15H24O1","CHO",1.6,0.07,0.2414,-1.4667,15,24,1,0,0,0,"aliphatic"
219.974319,"C6H7O4N1S2","CHONS",1.17,0.67,-1,1.3333,6,7,4,1,2,0,"unsaturated/lignin"
220.0251649,"C10H7O5N1","CHON",0.7,0.5,0.6923,0.6,10,7,5,1,0,0,"condensed aromatic"
220.0615283,"C11H11O4N1","CHON",1,0.36,0.5,0,11,11,4,1,0,0,"unsaturated/lignin"
220.0826946,"C8H15O6N1","CHON",1.88,0.75,-0.5,0,8,15,6,1,0,0,"aliphatic"
220.119027,"C9H19O5N1","CHON",2.11,0.56,-0.4545,-0.6667,9,19,5,1,0,0,"aliphatic"
221.0091704,"C10H6O6","CHO",0.6,0.6,0.7143,0.6,10,6,6,0,0,0,"condensed aromatic"
221.0204062,"C9H6O5N2","CHON",0.67,0.56,0.7778,1.1111,9,6,5,2,0,0,"condensed aromatic"
221.0302987,"C7H10O8","CHO",1.43,1.14,-0.3333,0.8571,7,10,8,0,0,0,"unsaturated/lignin"
221.0455598,"C11H10O5","CHO",0.91,0.45,0.5294,0,11,10,5,0,0,0,"aromatic"
221.05674,"C10H10O4N2","CHON",1,0.4,0.5,0.4,10,10,4,2,0,0,"unsaturated/lignin"
221.0601475,"C7H14O4N2S1","CHONS",2,0.57,-1.5,0.2857,7,14,4,2,1,0,"aliphatic"
221.0666847,"C8H14O7","CHO",1.75,0.88,-0.3333,0,8,14,7,0,0,0,"aliphatic"
221.0819245,"C12H14O4","CHO",1.17,0.33,0.4,-0.5,12,14,4,0,0,0,"unsaturated/lignin"
221.093122,"C11H14O3N2","CHON",1.27,0.27,0.3333,-0.1818,11,14,3,2,0,0,"unsaturated/lignin"
221.103016,"C9H18O6","CHO",2,0.67,-0.3333,-0.6667,9,18,6,0,0,0,"aliphatic"
221.1183449,"C13H18O3","CHO",1.38,0.23,0.3043,-0.9231,13,18,3,0,0,0,"unsaturated/lignin"
221.121693,"C10H22O3S1","CHOS",2.2,0.3,-0.3333,-1.4,10,22,3,0,1,0,"aliphatic"
221.131197,"C10H23O3P1","CHOP",2.3,0.3,-0.3333,-1.7,10,23,3,0,0,1,"aliphatic"
221.154714,"C14H22O2","CHO",1.57,0.14,0.2308,-1.2857,14,22,2,0,0,0,"aliphatic"
222.0407916,"C10H9O5N1","CHON",0.9,0.5,0.5385,0.4,10,9,5,1,0,0,"aromatic"
222.061911,"C7H13O7N1","CHON",1.86,1,-1,0.5714,7,13,7,1,0,0,"aliphatic"
222.0772063,"C11H13O4N1","CHON",1.18,0.36,0.375,-0.1818,11,13,4,1,0,0,"unsaturated/lignin"
222.988423,"C9H4O7","CHO",0.44,0.78,0.8182,1.1111,9,4,7,0,0,0,"condensed aromatic"
223.0248383,"C10H8O6","CHO",0.8,0.6,0.5714,0.4,10,8,6,0,0,0,"aromatic"
223.0360541,"C9H8O5N2","CHON",0.89,0.56,0.5556,0.8889,9,8,5,2,0,0,"aromatic"
223.0459456,"C7H12O8","CHO",1.71,1.14,-0.6667,0.5714,7,12,8,0,0,0,"aliphatic"
223.0611994,"C11H12O5","CHO",1.09,0.45,0.4118,-0.1818,11,12,5,0,0,0,"unsaturated/lignin"
223.0645625,"C8H16O5S1","CHOS",2,0.62,-0.5556,-0.5,8,16,5,0,1,0,"aliphatic"
223.072442,"C10H12O4N2","CHON",1.2,0.4,0.3333,0.2,10,12,4,2,0,0,"unsaturated/lignin"
223.0823582,"C8H16O7","CHO",2,0.88,-0.5556,-0.25,8,16,7,0,0,0,"aliphatic"
223.0975987,"C12H16O4","CHO",1.33,0.33,0.3,-0.6667,12,16,4,0,0,0,"unsaturated/lignin"
223.1339767,"C13H20O3","CHO",1.54,0.23,0.2174,-1.0769,13,20,3,0,0,0,"aliphatic"
223.170356,"C14H24O2","CHO",1.71,0.14,0.1538,-1.4286,14,24,2,0,0,0,"aliphatic"
224.0200735,"C9H7O6N1","CHON",0.78,0.67,0.6,0.8889,9,7,6,1,0,0,"aromatic"
224.0564824,"C10H11O5N1","CHON",1.1,0.5,0.3846,0.2,10,11,5,1,0,0,"unsaturated/lignin"
224.0928533,"C11H15O4N1","CHON",1.36,0.36,0.25,-0.3636,11,15,4,1,0,0,"unsaturated/lignin"
224.978914,"C7H2O7N2","CHON",0.29,1,1.6667,2.5714,7,2,7,2,0,0,"condensed aromatic"
225.0040824,"C9H6O7","CHO",0.67,0.78,0.6364,0.8889,9,6,7,0,0,0,"aromatic"
225.007405,"C6H10O7S1","CHOS",1.67,1.17,-1.6667,1,6,10,7,0,1,0,"aliphatic"
225.0404873,"C10H10O6","CHO",1,0.6,0.4286,0.2,10,10,6,0,0,0,"unsaturated/lignin"
225.0517056,"C9H10O5N2","CHON",1.11,0.56,0.3333,0.6667,9,10,5,2,0,0,"unsaturated/lignin"
225.061596,"C7H14O8","CHO",2,1.14,-1,0.2857,7,14,8,0,0,0,"aliphatic"
225.0768667,"C11H14O5","CHO",1.27,0.45,0.2941,-0.3636,11,14,5,0,0,0,"unsaturated/lignin"
225.0880977,"C10H14O4N2","CHON",1.4,0.4,0.1667,0,10,14,4,2,0,0,"unsaturated/lignin"
225.097987,"C8H18O7","CHO",2.25,0.88,-0.7778,-0.5,8,18,7,0,0,0,"aliphatic"
225.1132388,"C12H18O4","CHO",1.5,0.33,0.2,-0.8333,12,18,4,0,0,0,"aliphatic"
225.1496364,"C13H22O3","CHO",1.69,0.23,0.1304,-1.2308,13,22,3,0,0,0,"aliphatic"
225.1860241,"C14H26O2","CHO",1.86,0.14,0.0769,-1.5714,14,26,2,0,0,0,"aliphatic"
