"V1","V2"
2,1382
2.01,1396
2.02,1431
2.03,1328
2.04,1313
2.05,1299
2.06,1313
2.07,1278
2.08,1310
2.09,1210
2.1,1193
2.11,1216
2.12,1134
2.13,1137
2.14,1121
2.15,1123
2.16,1126
2.17,1105
2.18,1095
2.19,1029
2.2,1049
2.21,1047
2.22,1027
2.23,1003
2.24,1002
2.25,1046
2.26,977
2.27,1005
2.28,950
2.29,923
2.3,963
2.31,901
2.32,891
2.33,880
2.34,920
2.35,867
2.36,814
2.37,856
2.38,833
2.39,808
2.4,819
2.41,830
2.42,812
2.43,789
2.44,810
2.45,769
2.46,738
2.47,718
2.48,739
2.49,723
2.5,755
2.51,751
2.52,727
2.53,714
2.54,734
2.55,705
2.56,721
2.57,670
2.58,691
2.59,678
2.6,680
2.61,645
2.62,642
2.63,628
2.64,690
2.65,648
2.66,662
2.67,670
2.68,672
2.69,630
2.7,629
2.71,632
2.72,616
2.73,598
2.74,584
2.75,609
2.76,571
2.77,603
2.78,567
2.79,609
2.8,571
2.81,602
2.82,524
2.83,597
2.84,592
2.85,550
2.86,576
2.87,601
2.88,520
2.89,574
2.9,521
2.91,574
2.92,525
2.93,529
2.94,570
2.95,553
2.96,527
2.97,487
2.98,496
2.99,552
3,546
3.01,546
3.02,539
3.03,517
3.04,558
3.05,559
3.06,544
3.07,548
3.08,508
3.09,508
3.1,518
3.11,506
3.12,521
3.13,505
3.14,518
3.15,531
3.16,557
3.17,527
3.18,526
3.19,518
3.2,514
3.21,520
3.22,492
3.23,480
3.24,501
3.25,490
3.26,484
3.27,516
3.28,527
3.29,543
3.3,563
3.31,549
3.32,516
3.33,504
3.34,507
3.35,530
3.36,510
3.37,519
3.38,535
3.39,554
3.4,551
3.41,502
3.42,503
3.43,496
3.44,518
3.45,486
3.46,490
3.47,528
3.48,487
3.49,518
3.5,505
3.51,514
3.52,524
3.53,497
3.54,503
3.55,534
3.56,549
3.57,527
3.58,523
3.59,509
3.6,542
3.61,514
3.62,550
3.63,544
3.64,534
3.65,536
3.66,561
3.67,539
3.68,523
3.69,561
3.7,524
3.71,516
3.72,500
3.73,537
3.74,522
3.75,531
3.76,498
3.77,538
3.78,540
3.79,459
3.8,471
3.81,528
3.82,533
3.83,531
3.84,521
3.85,525
3.86,492
3.87,500
3.88,496
3.89,481
3.9,514
3.91,519
3.92,511
3.93,515
3.94,492
3.95,474
3.96,523
3.97,496
3.98,461
3.99,521
4,488
4.01,484
4.02,490
4.03,478
4.04,491
4.05,492
4.06,489
4.07,472
4.08,488
4.09,488
4.1,478
4.11,487
4.12,456
4.13,475
4.14,491
4.15,490
4.16,498
4.17,482
4.18,500
4.19,460
4.2,467
4.21,483
4.22,476
4.23,479
4.24,483
4.25,525
4.26,468
4.27,475
4.28,493
4.29,478
4.3,465
4.31,456
4.32,492
4.33,468
4.34,456
4.35,507
4.36,506
4.37,481
4.38,465
4.39,461
4.4,472
4.41,497
4.42,470
4.43,430
4.44,457
4.45,440
4.46,500
4.47,473
4.48,528
4.49,477
4.5,489
4.51,478
4.52,483
4.53,484
4.54,466
4.55,473
4.56,499
4.57,497
4.58,515
4.59,490
4.6,509
4.61,505
4.62,491
4.63,477
4.64,467
4.65,515
4.66,504
4.67,523
4.68,504
4.69,502
4.7,517
4.71,481
4.72,472
4.73,495
4.74,471
4.75,510
4.76,502
4.77,516
4.78,497
4.79,524
4.8,521
4.81,476
4.82,512
4.83,477
4.84,484
4.85,509
4.86,538
4.87,515
4.88,513
4.89,522
4.9,510
4.91,533
4.92,535
4.93,517
4.94,528
4.95,514
4.96,520
4.97,513
4.98,525
4.99,509
5,519
5.01,556
5.02,539
5.03,526
5.04,509
5.05,485
5.06,519
5.07,528
5.08,524
5.09,491
5.1,546
5.11,510
5.12,545
5.13,503
5.14,504
5.15,501
5.16,548
5.17,512
5.18,503
5.19,523
5.2,549
5.21,588
5.22,530
5.23,543
5.24,519
5.25,546
5.26,527
5.27,513
5.28,549
5.29,555
5.3,546
5.31,518
5.32,573
5.33,566
5.34,552
5.35,588
5.36,531
5.37,556
5.38,533
5.39,535
5.4,556
5.41,559
5.42,579
5.43,560
5.44,611
5.45,558
5.46,547
5.47,543
5.48,560
5.49,579
5.5,526
5.51,551
5.52,571
5.53,546
5.54,626
5.55,574
5.56,527
5.57,564
5.58,557
5.59,558
5.6,590
5.61,581
5.62,595
5.63,572
5.64,574
5.65,594
5.66,580
5.67,572
5.68,577
5.69,643
5.7,578
5.71,598
5.72,558
5.73,589
5.74,606
5.75,579
5.76,646
5.77,594
5.78,585
5.79,576
5.8,574
5.81,589
5.82,616
5.83,612
5.84,615
5.85,602
5.86,580
5.87,614
5.88,653
5.89,570
5.9,615
5.91,622
5.92,650
5.93,652
5.94,675
5.95,660
5.96,682
5.97,623
5.98,604
5.99,668
6,665
6.01,644
6.02,669
6.03,710
6.04,648
6.05,700
6.06,705
6.07,689
6.08,681
6.09,658
6.1,702
6.11,709
6.12,638
6.13,706
6.14,685
6.15,694
6.16,664
6.17,665
6.18,687
6.19,686
6.2,722
6.21,726
6.22,673
6.23,646
6.24,723
6.25,711
6.26,724
6.27,694
6.28,696
6.29,712
6.3,711
6.31,714
6.32,665
6.33,665
6.34,672
6.35,669
6.36,700
6.37,691
6.38,654
6.39,685
6.4,684
6.41,714
6.42,692
6.43,689
6.44,677
6.45,665
6.46,651
6.47,674
6.48,706
6.49,687
6.5,671
6.51,667
6.52,695
6.53,703
6.54,695
6.55,672
6.56,671
6.57,743
6.58,701
6.59,668
6.6,644
6.61,637
6.62,670
6.63,703
6.64,686
6.65,661
6.66,684
6.67,715
6.68,708
6.69,702
6.7,673
6.71,705
6.72,687
6.73,677
6.74,718
6.75,733
6.76,668
6.77,715
6.78,715
6.79,674
6.8,680
6.81,704
6.82,672
6.83,669
6.84,687
6.85,673
6.86,723
6.87,713
6.88,651
6.89,653
6.9,709
6.91,630
6.92,684
6.93,721
6.94,644
6.95,713
6.96,717
6.97,736
6.98,693
6.99,718
7,759
7.01,735
7.02,705
7.03,780
7.04,714
7.05,745
7.06,712
7.07,716
7.08,726
7.09,729
7.1,718
7.11,732
7.12,753
7.13,777
7.14,693
7.15,739
7.16,746
