"FT_col","W","formula","presence","Site","Trtmt","Core","Material","formulareps","include"
"FT","W","C8H10O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H14O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H18O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H16O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H6O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H10O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H8O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H12O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H10O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H14O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H18O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H12O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H16O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H20O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H15O2N1S1",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H14O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H18O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H22O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H26O2",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H12O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H16O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H20O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H10O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H14O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H18O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H8O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H12O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H6O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H10O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H14O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H22O2",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H8O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H12O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H16O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H20O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H6O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H10O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H14O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H18O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H22O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H26O2",1,"TOOL","CON",2,"Upper Mineral",2,TRUE
"FT","W","C10H12O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H16O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H20O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H24O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H28O2",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H14O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H18O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H22O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H12O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H6O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H10O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H14O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H8O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H12O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H16O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H20O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H10O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H14O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H18O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H22O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H9O6N1",1,"TOOL","CON",2,"Upper Mineral",2,TRUE
"FT","W","C10H8O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H12O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H16O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H20O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C15H28O2",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H10O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H14O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H18O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H22O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H26O3",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C15H30O2",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H25O3N1",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H12O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H16O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H20O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H24O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H28O3",1,"TOOL","CON",2,"Upper Mineral",2,TRUE
"FT","W","C12H6O6",1,"TOOL","CON",2,"Upper Mineral",2,TRUE
"FT","W","C9H10O8",1,"TOOL","CON",2,"Upper Mineral",2,TRUE
"FT","W","C13H10O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C10H14O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H18O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H8O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C9H12O8",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H12O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H16O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H11O5N1",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C11H6O7",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C12H10O6",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C13H14O5",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
"FT","W","C14H18O4",1,"TOOL","CON",2,"Upper Mineral",3,TRUE
