"Site","Material","Trtmt","mean"
"HEAL","Organic","CON",1.61039024390244
"HEAL","Organic","FTC",1.14562358276644
"HEAL","Upper Mineral","CON",1.61127962085308
"HEAL","Upper Mineral","FTC",1.12222222222222
"HEAL","Lower Mineral","CON",1.31877708978328
"HEAL","Lower Mineral","FTC",1.0147619047619
"TOOL","Organic","CON",1.25066265060241
"TOOL","Organic","FTC",1.42945497630332
"TOOL","Upper Mineral","CON",1.14087078651685
"TOOL","Upper Mineral","FTC",1.23790794979079
"TOOL","Lower Mineral","CON",1.37349775784753
"TOOL","Lower Mineral","FTC",1.13274193548387
