"Site","Material","Trtmt","mean"
"HEAL","Organic","CON",0.613585365853659
"HEAL","Organic","FTC",0.472993197278912
"HEAL","Upper Mineral","CON",0.41085308056872
"HEAL","Upper Mineral","FTC",0.488972746331237
"HEAL","Lower Mineral","CON",0.445758513931889
"HEAL","Lower Mineral","FTC",0.604047619047619
"TOOL","Organic","CON",0.443795180722892
"TOOL","Organic","FTC",0.551315165876777
"TOOL","Upper Mineral","CON",0.557219101123596
"TOOL","Upper Mineral","FTC",0.357322175732218
"TOOL","Lower Mineral","CON",0.535739910313901
"TOOL","Lower Mineral","FTC",0.471693548387097
