"Site","material","pH_EC","summary"
"HEAL","Organic","pH","4.55 ± 0.08"
"HEAL","Organic","EC","0.06 ± 0.01"
"HEAL","Organic","Gravimetric.Moisture","439.19 ± 141.64"
"HEAL","Upper Mineral","pH","5 ± 0.15"
"HEAL","Upper Mineral","EC","0.03 ± 0"
"HEAL","Upper Mineral","Gravimetric.Moisture","203.47 ± 9.91"
"HEAL","Lower Mineral","pH","5.36 ± 0.13"
"HEAL","Lower Mineral","EC","0.02 ± 0"
"HEAL","Lower Mineral","Gravimetric.Moisture","122.8 ± 33.04"
"TOOL","Organic","pH","5.07 ± 0.18"
"TOOL","Organic","EC","0.03 ± 0"
"TOOL","Organic","Gravimetric.Moisture","420.73 ± 55.62"
"TOOL","Upper Mineral","pH","5.31 ± 0.09"
"TOOL","Upper Mineral","EC","0.02 ± 0"
"TOOL","Upper Mineral","Gravimetric.Moisture","35.73 ± 6.91"
"TOOL","Lower Mineral","pH","5.29 ± 0.11"
"TOOL","Lower Mineral","EC","0.03 ± 0"
"TOOL","Lower Mineral","Gravimetric.Moisture","30.85 ± 4.58"
