"Trtmt","Material","Class","HEAL","TOOL"
"CON","Organic","aliphatic","35.95 ± 6.74","33.99 ± 5.69"
"CON","Organic","unsaturated/lignin","50.49 ± 5.41","48.29 ± 2.84"
"CON","Organic","aromatic","10.76 ± 1.2","12.73 ± 1.8"
"CON","Organic","condensed aromatic","2.8 ± 0.18","4.99 ± 1.32"
"CON","Upper Mineral","aliphatic","23.02 ± 4.11","24.85 ± 3.39"
"CON","Upper Mineral","unsaturated/lignin","54.06 ± 3.68","52.79 ± 1.43"
"CON","Upper Mineral","aromatic","15.23 ± 0.97","16.04 ± 2.09"
"CON","Upper Mineral","condensed aromatic","7.68 ± 0.54","6.32 ± 1.92"
"CON","Lower Mineral","aliphatic","21.34 ± 3.06","27.1 ± 0.88"
"CON","Lower Mineral","unsaturated/lignin","56.79 ± 1.01","54.15 ± 1.34"
"CON","Lower Mineral","aromatic","15.37 ± 1.99","13.86 ± 1.33"
"CON","Lower Mineral","condensed aromatic","6.5 ± 0.12","4.88 ± 0.85"
"FTC","Organic","aliphatic","35.01 ± 2.57","38.31 ± 1.07"
"FTC","Organic","unsaturated/lignin","49.09 ± 0.82","46.9 ± 1.64"
"FTC","Organic","aromatic","11.56 ± 0.92","10.75 ± 0.02"
"FTC","Organic","condensed aromatic","4.35 ± 1.2","4.04 ± 0.58"
"FTC","Upper Mineral","aliphatic","19.19 ± 3.11","26.15 ± 0.86"
"FTC","Upper Mineral","unsaturated/lignin","58.4 ± 7.08","52.9 ± 3.83"
"FTC","Upper Mineral","aromatic","15.9 ± 1.21","14.96 ± 2.54"
"FTC","Upper Mineral","condensed aromatic","6.5 ± 2.75","5.99 ± 2.11"
"FTC","Lower Mineral","aliphatic","12.29 ± 0.36","24.02 ± 4.8"
"FTC","Lower Mineral","unsaturated/lignin","63.63 ± 1.3","54.11 ± 1.53"
"FTC","Lower Mineral","aromatic","17.54 ± 0.52","15.59 ± 2.22"
"FTC","Lower Mineral","condensed aromatic","6.55 ± 0.42","6.28 ± 1.82"
