"Site","Material","particle_size_simple","summary"
"HEAL","Lower Mineral","sand","0.36 ± 0.05"
"HEAL","Lower Mineral","silt","0.4 ± 0.04"
"HEAL","Lower Mineral","clay","0.23 ± 0.02"
"HEAL","Upper Mineral","sand","0.24 ± 0.03"
"HEAL","Upper Mineral","silt","0.45 ± 0.04"
"HEAL","Upper Mineral","clay","0.31 ± 0.03"
"TOOL","Lower Mineral","sand","0.48 ± 0.07"
"TOOL","Lower Mineral","silt","0.27 ± 0"
"TOOL","Lower Mineral","clay","0.25 ± 0.01"
"TOOL","Upper Mineral","sand","0.47 ± 0.06"
"TOOL","Upper Mineral","silt","0.29 ± 0.01"
"TOOL","Upper Mineral","clay","0.25 ± 0.03"
