"Site","Material","Class","CON","FTC"
"HEAL","Organic","aliphatic","35.95 ± 6.74","35.01 ± 2.57"
"HEAL","Organic","unsaturated/lignin","50.49 ± 5.41","49.09 ± 0.82"
"HEAL","Organic","aromatic","10.76 ± 1.2","11.56 ± 0.92"
"HEAL","Organic","condensed aromatic","2.8 ± 0.18","4.35 ± 1.2"
"HEAL","Upper Mineral","aliphatic","23.02 ± 4.11","19.19 ± 3.11"
"HEAL","Upper Mineral","unsaturated/lignin","54.06 ± 3.68","58.4 ± 7.08"
"HEAL","Upper Mineral","aromatic","15.23 ± 0.97","15.9 ± 1.21"
"HEAL","Upper Mineral","condensed aromatic","7.68 ± 0.54","6.5 ± 2.75"
"HEAL","Lower Mineral","aliphatic","21.34 ± 3.06","12.29 ± 0.36 *"
"HEAL","Lower Mineral","unsaturated/lignin","56.79 ± 1.01","63.63 ± 1.3 *"
"HEAL","Lower Mineral","aromatic","15.37 ± 1.99","17.54 ± 0.52"
"HEAL","Lower Mineral","condensed aromatic","6.5 ± 0.12","6.55 ± 0.42"
"TOOL","Organic","aliphatic","33.99 ± 5.69","38.31 ± 1.07"
"TOOL","Organic","unsaturated/lignin","48.29 ± 2.84","46.9 ± 1.64"
"TOOL","Organic","aromatic","12.73 ± 1.8","10.75 ± 0.02"
"TOOL","Organic","condensed aromatic","4.99 ± 1.32","4.04 ± 0.58"
"TOOL","Upper Mineral","aliphatic","24.85 ± 3.39","26.15 ± 0.86"
"TOOL","Upper Mineral","unsaturated/lignin","52.79 ± 1.43","52.9 ± 3.83"
"TOOL","Upper Mineral","aromatic","16.04 ± 2.09","14.96 ± 2.54"
"TOOL","Upper Mineral","condensed aromatic","6.32 ± 1.92","5.99 ± 2.11"
"TOOL","Lower Mineral","aliphatic","27.1 ± 0.88","24.02 ± 4.8"
"TOOL","Lower Mineral","unsaturated/lignin","54.15 ± 1.34","54.11 ± 1.53"
"TOOL","Lower Mineral","aromatic","13.86 ± 1.33","15.59 ± 2.22"
"TOOL","Lower Mineral","condensed aromatic","4.88 ± 0.85","6.28 ± 1.82"
