Site,Trtmt,Rep,depth_top,depth_bottom,morph,material,Customer ID,Lab ID,Gravimetric Moisture,pH,EC
TOOL,FTC,3,14,35,O,Organic,RO-22,1,470.8333333,4.82,0.02746
TOOL,CON,1,30,40,Oea/Bw,Organic,RO-35,2,280,4.76,0.03037
HEAL,CON,1,12,24,Oa/Oejj,Organic,RO-47,3,503.8461538,4.57,0.0573
TOOL,CON,3,0,14,O,Organic,RO-56,4,1022.222222,NES,NES
HEAL,CON,1,0,12,O,Organic,RO-09,5,1400,4.33,0.08958
HEAL,CON,3,16,30,Oa/Ajj,Organic,RO-34,6,208.8235294,4.51,0.0362
HEAL,CON,3,16,30,Oa/Ajj,Organic,RO-55,7,200,4.47,0.04265
TOOL,CON,2,20,28,O,Organic,RO-28,8,265.625,4.91,0.02822
HEAL,CON,2,20,28,O,Organic,RO-57,9,276.9230769,4.52,0.05593
TOOL,CON,1,20,30,O,Organic,RO-21,10,404,5.01,0.01617
HEAL,CON,3,0,9,O,Organic,RO-48,11,236.6666667,5.06,0.02644
TOOL,CON,3,14,35,O,Organic,RO-49,12,390.625,4.63,0.03623
TOOL,CON,1,10,20,O,Organic,RO-51,13,707.6923077,6.05,0.03639
TOOL,CON,2,10,20,O,Organic,RO-26,14,426.3157895,5.29,0.006381
HEAL,CON,1,12,24,Oa/Oejj,Organic,RO-64,15,331.25,4.44,0.04697
HEAL,CON,2,12,20,O,Organic,RO-31,16,356,4.47,0.09427
HEAL,CON,1,50,60,B,Lower Mineral,RO-16,1,146.5116279,5.39,0.01177
HEAL,CON,1,50,60,B,Lower Mineral,RO-16,2,255.8823529,5,0.01863
HEAL,CON,2,34,47,B,Upper Mineral,RO-11,3,169.2307692,5.3,0.01574
HEAL,CON,2,28,34,B/Oajj,Upper Mineral,RO-60,4,211.1111111,4.93,0.02501
HEAL,CON,1,50,60,B,Lower Mineral,RO-46,5,154.4117647,5.55,0.01863
TOOL,CON,1,60,67,B,Lower Mineral,RO-72,6,18.18181818,5.16,0.03298
HEAL,CON,3,40,54,Bw,Lower Mineral,RO-65,7,26.92307692,5.59,0.01861
HEAL,CON,3,40,54,Bw,Lower Mineral,RO-76,8,74.31192661,4.92,0.01864
HEAL,CON,1,24,33,B/Oajj,Upper Mineral,RO-50,9,211.3636364,4.74,0.02565
TOOL,CON,3,35,41,B/Oajj,Upper Mineral,RO-33,10,60.9375,5.44,0.02651
TOOL,CON,2,38,44,B,Upper Mineral,RO-17,11,23.01587302,5.41,0.01561
HEAL,CON,2,47,68,B,Lower Mineral,RO-08,12,78.75,5.69,0.0329
HEAL,CON,3,30,38,A,Upper Mineral,RO-44,13,197.0588235,4.64,0.04155
TOOL,CON,3,41,50,B,Upper Mineral,RO-66,14,39.3258427,5.49,0.03281
TOOL,CON,1,50,60,B,Lower Mineral,RO-75,15,30.55555556,5.04,0.01764
TOOL,CON,2,44,58,BC/Oajj,Lower Mineral,RO-18,16,39.24050633,5.45,0.03273
TOOL,CON,3,50,58,B,Lower Mineral,RO-61,17,35.41666667,5.5,0.03794
TOOL,CON,1,40,50,B,Upper Mineral,RO-67,18,24.83221477,5.05,0.01925
TOOL,CON,2,28,38,B,Upper Mineral,RO-69,19,30.53435115,5.15,0.01683
HEAL,CON,1,33,50,B,Upper Mineral,RO-39,20,228.5714286,5.37,0.02731
