Customer ID,Site,Trtmt,Rep,depth_top_cm,depth_bottom_cm,Morph,Material,labID,grav_moist,Clay_<2mm,Silt_2to20mm,Silt_20to50mm,Sand_1000to2000mm,Sand_500to1000mm,Sand_250to500mm, Sand_100to250mm,Sand_50to100mm
HEAL_2_47_68,HEAL,CON,2,47,68,B,Lower Mineral,1,123,0.2088,0.3071,0.1658,0.0265,0.0338,0.0629,0.1251,0.07
HEAL_1_50_60,HEAL,CON,1,50,60,B,Lower Mineral,2,215,0.2128,0.2465,0.1094,0.0906,0.081,0.0929,0.1039,0.0629
TOOL_3_50_58,TOOL,CON,3,50,58,B,Lower Mineral,4,70,0.266,0.197,0.0821,0.0856,0.1004,0.1213,0.102,0.0456
TOOL_1_60_67,TOOL,CON,1,60,67,B,Lower Mineral,5,29,0.2387,0.1908,0.0815,0.0516,0.0789,0.1487,0.1373,0.0725
HEAL_3_40_54,HEAL,CON,3,40,54,Bw,Lower Mineral,7,92,0.2728,0.2687,0.1114,0.0346,0.0474,0.0769,0.1106,0.0775
HEAL_2_34_47,HEAL,CON,2,34,47,B,Upper Mineral,8,202,0.2552,0.2616,0.1675,0.0399,0.0765,0.0683,0.0879,0.043
TOOL_3_35_41,TOOL,CON,3,35,41,B/Oajj,Upper Mineral,9,50,0.2623,0.2092,0.0976,0.0563,0.0825,0.1164,0.1162,0.0594
HEAL_1_33_50,HEAL,CON,1,33,50,B,Upper Mineral,10,295,0.3238,0.3302,0.1288,0.0148,0.039,0.0543,0.0659,0.0433
HEAL_3_30_38,HEAL,CON,3,30,38,A,Upper Mineral,11,205,0.4188,0.2728,0.0668,0,0.0347,0.0403,0.0872,0.0794
HEAL_1_24_33,HEAL,CON,1,24,33,B/Oajj,Upper Mineral,12,48,0.2739,0.3552,0.1312,0.0157,0.0301,0.0522,0.0834,0.0581
HEAL_2_28_34,HEAL,CON,2,28,34,B/Oajj,Upper Mineral,13,195,0.2536,0.3058,0.2159,0.0203,0.0404,0.0459,0.0691,0.0489
TOOL_3_41_50,TOOL,CON,3,41,50,B,Upper Mineral,14,32,0.2475,0.2009,0.1031,0.0527,0.089,0.1219,0.1219,0.0631
TOOL_1_40_50,TOOL,CON,1,40,50,B,Upper Mineral,15,49,0.3236,0.1921,0.0646,0.0686,0.1005,0.1191,0.0906,0.041
TOOL_2_28_38,TOOL,CON,2,28,38,B,Upper Mineral,16,35,0.1696,0.1898,0.0914,0.0047,0.0873,0.2298,0.1607,0.0666
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
