jar_num,site,top,bottom,mid,trmt,OC.g100g_1,OC.g100g_2,OC.g100g_3,mean_OC.g100g
2,HEALY,12,24,18,CON,37.672245,38.267105,38.444267,38.12787233
11,HEALY,12,24,18,FTC,37.672245,38.267105,38.444267,38.12787233
1,HEALY,16,30,23,CON,22.515036,22.259979,22.375118,22.38337767
12,HEALY,16,30,23,FTC,22.515036,22.259979,22.375118,22.38337767
18,HEALY,24,33,28.5,CON,7.216665,7.20962,7.184987,7.203757333
20,HEALY,24,33,28.5,FTC,7.216665,7.20962,7.184987,7.203757333
21,HEALY,28,34,31,CON,24.095388,23.599207,23.558399,23.750998
13,HEALY,28,34,31,FTC,24.095388,23.599207,23.558399,23.750998
30,HEALY,30,38,34,CON,24.424026,24.147083,23.950306,24.173805
15,HEALY,30,38,34,FTC,24.424026,24.147083,23.950306,24.173805
3,HEALY,40,54,47,CON,10.942115,10.947594,10.962241,10.95065
9,HEALY,40,54,47,FTC,10.942115,10.947594,10.962241,10.95065
5,TOOL,28,38,33,CON,7.500594,7.539929,7.493787,7.511436667
28,TOOL,28,38,33,FTC,7.500594,7.539929,7.493787,7.511436667
8,TOOL,30,40,35,CON,34.150558,33.723522,34.731625,34.20190167
23,TOOL,30,40,35,FTC,34.150558,33.723522,34.731625,34.20190167
17,TOOL,38,44,41,CON,13.862856,13.929975,13.914303,13.902378
22,TOOL,38,44,41,FTC,13.862856,13.929975,13.914303,13.902378
6,TOOL,40,50,45,CON,14.566685,12.702133,11.783907,13.017575
16,TOOL,40,50,45,FTC,14.566685,12.702133,11.783907,13.017575
4,TOOL,41,54,47.5,CON,10.748843,10.803222,11.113494,10.88851967
14,TOOL,41,50,45.5,FTC,10.748843,10.803222,11.113494,10.88851967
26,TOOL,44,58,51,CON,13.238153,13.336268,13.421261,13.331894
10,TOOL,44,58,51,FTC,13.238153,13.336268,13.421261,13.331894
7,TOOL,50,58,54,CON,14.087128,13.991071,13.989239,14.02247933
25,TOOL,50,60,55,CON,14.566685,12.702133,11.783907,13.017575
19,TOOL,50,58,54,FTC,14.087128,13.991071,13.989239,14.02247933
27,TOOL,50,60,55,FTC,14.566685,12.702133,11.783907,13.017575
24,TOOL,60,67,63.5,CON,7.889955,7.899112,7.890841,7.893302667
29,TOOL,60,67,63.5,FTC,7.889955,7.899112,7.890841,7.893302667
