site,site_name_full,latitude.dec_deg,longitude.dec_deg,elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at
ABBY,Abby Road,45.76243,-122.33033,-9999,5.7,13.7,23.4,15.3,-0.6,2.9,9.3,5.2,2.6,8.3,16.3,10.3,1113,613,213,718,4.4,14.7,21.7,9,108,18,0,12,57,351,1043,527,1388,900,219,722,0,0,64,17,39,67,91,77,116,18,1,23,50,220,384,145
BARR,Barrow,71.28257842,-156.6187438,-9999,-22.3,-13.9,5.7,-7.4,-28.9,-20.6,0.1,-12.5,-25.6,-17.3,2.9,-9.9,33,26,68,56,-9999,12.9,19.2,-9999,2294,1597,37,928,28,1,76,8,3905,3244,1391,2544,2,13,0,10,0,0,42,7,33,24,28,49,0,0,111,0
BART,Bartlett Experimental forest,44.06388,-71.28731,-9999,-1.9,10.5,24.1,13.1,-13.8,-2.2,10.7,1.3,-7.9,4.2,17.4,7.2,288,306,341,327,-9999,15.8,19.5,9.4,738,130,0,50,7,240,1141,361,2322,1276,158,997,0,7,101,9,0,25,92,32,262,79,0,20,0,176,394,146
BLAN,Blandy Experimental Farm,39.06026,-78.07164,-9999,6,18.4,29.9,20.2,-4.9,4.9,16.2,6.7,0.6,11.6,23,13.4,190,252,271,241,7.5,16.7,19.9,11.4,173,14,0,6,66,662,1657,800,1563,636,16,505,0,49,472,89,5,58,92,62,22,0,0,0,56,307,482,221
BONA,Caribou Poker,65.15505361,-147.4909984,-9999,-12.7,6.3,19.9,0.5,-22.4,-6,8.1,-8.3,-17.5,0.1,14,-3.9,51,50,213,100,1.1,13,16.4,4,1585,339,0,561,8,135,833,65,3191,1647,387,1994,0,0,24,0,0,25,90,18,51,20,2,65,0,110,262,29
CLBJ,LBJ/Caddo,33.40123,-97.57,-9999,13.6,24.1,34.7,25.5,0.1,10.8,21.2,11.8,6.8,17.4,28,18.7,138,284,200,249,9.5,18.6,23.1,13.7,36,2,0,1,285,1152,2108,1246,1005,245,2,217,3,191,918,276,21,90,92,90,1,0,0,0,150,386,560,298
CPER,CPER,40.815534,-104.745602,-9999,5.1,14.7,28.6,17.3,-10.1,-1.1,10.9,0.2,-2.5,6.8,19.7,8.8,27,121,137,64,8.5,18.4,23.1,12.5,336,55,0,34,18,341,1356,469,1842,1043,76,858,0,7,238,20,2,39,92,46,14,12,0,3,0,271,498,205
DCFS,Dakota-Coteau,47.161647,-99.106556,-9999,-6.6,10.7,26.9,13,-18.2,-2.5,11.9,-0.6,-12.4,4.1,19.4,6.2,30,107,207,83,5,16.4,21,9.1,1124,178,0,112,1,290,1326,368,2729,1288,83,1084,0,13,216,13,0,32,92,36,30,21,0,6,0,180,426,125
DEJU,Delta Junction,63.88112,-145.75136,-9999,-14,4.8,19.8,0.5,-24.9,-8.4,7.1,-9.8,-19.5,-1.8,13.5,-4.6,38,55,259,91,1.2,13,16.4,4.3,1760,433,0,628,4,90,776,67,3368,1820,427,2063,0,0,17,0,0,17,90,16,38,22,3,54,0,73,270,32
DELA,Dead Lake,32.54172,-87.80389,-9999,14,24.3,32.6,25,1.1,10.6,20,10.9,7.6,17.5,26.3,17.9,405,401,323,274,9.6,18.7,21.1,13.8,29,2,0,1,336,1154,1954,1182,939,237,4,241,6,186,765,232,17,92,92,89,2,0,0,0,156,397,525,299
DSNY,Disney,28.12504,-81.4362,-9999,22.6,28.6,32.9,29,9.7,15.4,22,17.9,16.1,22,27.5,23.4,195,231,570,286,12.2,20.7,20.3,14.9,3,0,0,0,1021,1552,2062,1671,258,57,2,44,95,402,871,533,88,92,92,91,0,0,0,0,241,460,515,336
