name,n_perc,c_perc,fibers
H1 0-12 cm,1.369936,43.782681,yes
H1 0-12 cm,1.355825,43.481239,yes
H1 0-12 cm,1.337057,44.247658,yes
H1 12-24 cm,1.60436,37.672245,no
H1 12-24 cm,1.611804,38.267105,no
H1 12-24 cm,1.633039,38.444267,no
H1 24-33 cm,0.26098,7.216665,no
H1 24-33 cm,0.261472,7.20962,no
H1 24-33 cm,0.262021,7.184987,no
H1 33-50 cm,0.752873,20.866936,no
H1 33-50 cm,0.756236,20.894819,no
H1 33-50 cm,0.756035,20.91737,no
H1 50-60 cm,0.423052,12.381216,no
H1 50-60 cm,0.428793,12.423956,no
H1 50-60 cm,0.422467,12.39357,no
H2 0-12 cm,1.03018,44.794609,yes
H2 0-12 cm,1.017332,44.661457,yes
H2 0-12 cm,1.018399,44.773842,yes
H2 12-20 cm,1.680076,37.987427,no
H2 12-20 cm,1.632685,37.953445,no
H2 12-20 cm,1.621919,37.954517,no
H2 20-28 cm,1.578387,36.788204,no
H2 20-28 cm,1.575177,36.825119,no
H2 20-28 cm,1.585741,36.638924,no
H2 28-34 cm,1.100492,24.095388,no
H2 28-34 cm,1.130459,23.599207,no
H2 28-34 cm,1.054063,23.558399,no
H2 34-47 cm,1.084614,25.343031,no
H2 34-47 cm,1.086579,25.413076,no
H2 34-47 cm,1.073357,25.289965,no
H2 47-68 cm,0.387078,9.548047,no
H2 47-68 cm,0.408969,9.547235,no
H2 47-68 cm,0.404296,9.519734,no
H3 0-9 cm,0.978159,42.790886,yes
H3 0-9 cm,0.863702,42.958687,yes
H3 0-9 cm,0.821537,43.03973,yes
H3 9-16 cm,1.235471,40.91893,no
H3 9-16 cm,1.180136,41.563053,no
H3 9-16 cm,1.1262,42.191093,no
H3 16-30 cm,0.860394,22.515036,yes
H3 16-30 cm,0.854649,22.259979,yes
H3 16-30 cm,0.864747,22.375118,yes
H3 30-38 cm,1.051407,24.424026,no
H3 30-38 cm,1.046638,24.147083,no
H3 30-38 cm,1.029437,23.950306,no
H3 40-50 cm,0.434817,10.942115,no
H3 40-50 cm,0.437278,10.947594,no
H3 40-50 cm,0.438937,10.962241,no
T1 0-10 cm,1.631061,39.792805,yes
T1 0-10 cm,1.700419,39.9459,yes
T1 0-10 cm,1.635181,39.638412,yes
T1 10-30 cm,2.147272,44.343494,no
T1 10-30 cm,2.180184,44.429455,no
T1 10-30 cm,2.16188,44.436047,no
T1 30-40 cm,1.668824,34.150558,no
T1 30-40 cm,1.625033,33.723522,no
T1 30-40 cm,1.666302,34.731625,no
T1 40-60 cm,0.502151,14.566685,no
T1 40-60 cm,0.435696,12.702133,no
T1 40-60 cm,0.400775,11.783907,no
T1 60-67 cm,0.279079,7.889955,no
T1 60-67 cm,0.280087,7.899112,no
T1 60-67 cm,0.280012,7.890841,no
T2 0-16 cm,1.529674,41.605164,yes
T2 0-16 cm,1.5522,40.473236,yes
T2 0-16 cm,1.475174,41.416348,yes
T2 16-28 cm,2.771577,45.228733,no
T2 16-28 cm,2.798088,44.579636,no
T2 16-28 cm,2.821838,44.614914,no
T2 28-38 cm,0.284764,7.500594,no
T2 28-38 cm,0.283544,7.539929,no
T2 28-38 cm,0.284074,7.493787,no
T2 38-44 cm,0.446698,13.862856,no
T2 38-44 cm,0.448171,13.929975,no
T2 38-44 cm,0.446925,13.914303,no
T2 44-58 cm,0.422958,13.238153,no
T2 44-58 cm,0.42418,13.336268,no
T2 44-58 cm,0.426158,13.421261,no
T3 0-14 cm,1.015237,36.364967,yes
T3 0-14 cm,1.027869,38.242744,yes
T3 0-14 cm,1.088009,37.213211,yes
T3 14-35 cm,2.899981,45.32357,yes
T3 14-35 cm,2.826263,45.659943,no
T3 14-35 cm,2.846355,45.885601,no
T3 35-41 cm,0.436614,11.351352,no
T3 35-41 cm,0.457032,11.336363,no
T3 35-41 cm,0.46075,11.416198,no
T3 41-50 cm,0.466106,10.748843,no
T3 41-50 cm,0.465091,10.803222,no
T3 41-50 cm,0.463934,11.113494,no
T3 50-58 cm,0.608012,14.087128,no
T3 50-58 cm,0.609328,13.991071,no
T3 50-58 cm,0.606638,13.989239,no
