id,depth_pos,depth_m,depth_cm,Label,Def1,season,year,site,depth,core,mag.vec,duration
1,501,-0.02,2,Exclude,NA,activelayer,1,BARR,501,1,0.1,24
2,501,-0.02,2,Exclude,NA,activelayer,1,BARR,501,2,0.1,24
3,501,-0.01,1,Exclude,NA,activelayer,1,BARR,501,3,0.1,24
4,501,-0.02,2,Exclude,NA,activelayer,1,BARR,501,4,0.1,24
5,501,-0.02,2,Exclude,NA,activelayer,1,BARR,501,5,0.1,24
6,502,-0.06,6,Exclude,NA,activelayer,1,BARR,502,1,0.1,24
7,502,-0.06,6,Exclude,NA,activelayer,1,BARR,502,2,0.1,24
8,502,-0.05,5,Exclude,NA,activelayer,1,BARR,502,3,0.1,24
9,502,-0.06,6,Exclude,NA,activelayer,1,BARR,502,4,0.1,24
10,502,-0.06,6,Exclude,NA,activelayer,1,BARR,502,5,0.1,24
11,503,-0.16,16,Exclude,NA,activelayer,1,BARR,503,1,0.1,24
12,503,-0.16,16,Exclude,NA,activelayer,1,BARR,503,2,0.1,24
13,503,-0.15,15,Exclude,NA,activelayer,1,BARR,503,3,0.1,24
14,503,-0.16,16,Exclude,NA,activelayer,1,BARR,503,4,0.1,24
15,503,-0.16,16,Exclude,NA,activelayer,1,BARR,503,5,0.1,24
16,504,-0.26,26,Exclude,NA,activelayer,1,BARR,504,1,0.1,24
17,504,-0.26,26,Exclude,NA,activelayer,1,BARR,504,2,0.1,24
18,504,-0.25,25,Exclude,NA,activelayer,1,BARR,504,3,0.1,24
19,504,-0.26,26,Exclude,NA,activelayer,1,BARR,504,4,0.1,24
20,504,-0.26,26,Exclude,NA,activelayer,1,BARR,504,5,0.1,24
21,505,-0.36,36,Exclude,NA,activelayer,1,BARR,505,1,0.1,24
22,505,-0.36,36,Exclude,NA,activelayer,1,BARR,505,2,0.1,24
23,505,-0.35,35,Exclude,NA,activelayer,1,BARR,505,3,0.1,24
24,505,-0.36,36,Exclude,NA,activelayer,1,BARR,505,4,0.1,24
25,505,-0.36,36,Exclude,NA,activelayer,1,BARR,505,5,0.1,24
26,506,-0.56,56,Exclude,NA,activelayer,1,BARR,506,1,0.1,24
27,506,-0.56,56,Exclude,NA,activelayer,1,BARR,506,2,0.1,24
28,506,-0.55,55,Exclude,NA,activelayer,1,BARR,506,3,0.1,24
29,506,-0.56,56,Exclude,NA,activelayer,1,BARR,506,4,0.1,24
30,506,-0.56,56,Exclude,NA,activelayer,1,BARR,506,5,0.1,24
31,507,-0.86,86,Exclude,NA,activelayer,1,BARR,507,1,0.1,24
32,507,-0.86,86,Exclude,NA,activelayer,1,BARR,507,2,0.1,24
33,507,-0.85,85,Exclude,NA,activelayer,1,BARR,507,3,0.1,24
34,507,-0.86,86,Exclude,NA,activelayer,1,BARR,507,4,0.1,24
35,507,-0.86,86,Exclude,NA,activelayer,1,BARR,507,5,0.1,24
36,508,-1.36,136,Exclude,NA,activelayer,1,BARR,508,1,0.1,24
37,508,-1.36,136,Exclude,NA,activelayer,1,BARR,508,2,0.1,24
38,508,-1.35,135,Exclude,NA,activelayer,1,BARR,508,3,0.1,24
39,508,-1.36,136,Exclude,NA,activelayer,1,BARR,508,4,0.1,24
40,508,-1.36,136,Exclude,NA,activelayer,1,BARR,508,5,0.1,24
41,509,-1.76,176,Exclude,NA,activelayer,1,BARR,509,1,0.1,24
42,509,-2.26,226,Exclude,NA,activelayer,1,BARR,509,2,0.1,24
43,509,-1.75,175,Exclude,NA,activelayer,1,BARR,509,3,0.1,24
44,509,-1.96,196,Exclude,NA,activelayer,1,BARR,509,4,0.1,24
45,509,-1.86,186,Exclude,NA,activelayer,1,BARR,509,5,0.1,24
91,501,-0.03,3,Exclude,NA,activelayer,1,HEAL,501,1,0.1,24
92,501,-0.02,2,Exclude,NA,activelayer,1,HEAL,501,2,0.1,24
93,501,-0.02,2,Exclude,NA,activelayer,1,HEAL,501,3,0.1,24
94,501,-0.02,2,Exclude,NA,activelayer,1,HEAL,501,4,0.1,24
95,501,-0.02,2,Exclude,NA,activelayer,1,HEAL,501,5,0.1,24
96,502,-0.07,7,Exclude,NA,activelayer,1,HEAL,502,1,0.1,24
97,502,-0.06,6,Exclude,NA,activelayer,1,HEAL,502,2,0.1,24
98,502,-0.06,6,Exclude,NA,activelayer,1,HEAL,502,3,0.1,24
99,502,-0.06,6,Exclude,NA,activelayer,1,HEAL,502,4,0.1,24
100,502,-0.06,6,Exclude,NA,activelayer,1,HEAL,502,5,0.1,24
101,503,-0.17,17,Exclude,NA,activelayer,1,HEAL,503,1,0.1,24
102,503,-0.16,16,Exclude,NA,activelayer,1,HEAL,503,2,0.1,24
103,503,-0.16,16,Exclude,NA,activelayer,1,HEAL,503,3,0.1,24
104,503,-0.16,16,Exclude,NA,activelayer,1,HEAL,503,4,0.1,24
105,503,-0.16,16,Exclude,NA,activelayer,1,HEAL,503,5,0.1,24
106,504,-0.27,27,Exclude,NA,activelayer,1,HEAL,504,1,0.1,24
107,504,-0.26,26,Exclude,NA,activelayer,1,HEAL,504,2,0.1,24
108,504,-0.26,26,Exclude,NA,activelayer,1,HEAL,504,3,0.1,24
109,504,-0.26,26,Exclude,NA,activelayer,1,HEAL,504,4,0.1,24
110,504,-0.26,26,Exclude,NA,activelayer,1,HEAL,504,5,0.1,24
111,505,-0.37,37,Exclude,NA,activelayer,1,HEAL,505,1,0.1,24
112,505,-0.36,36,Exclude,NA,activelayer,1,HEAL,505,2,0.1,24
113,505,-0.36,36,Exclude,NA,activelayer,1,HEAL,505,3,0.1,24
114,505,-0.36,36,Exclude,NA,activelayer,1,HEAL,505,4,0.1,24
115,505,-0.36,36,Exclude,NA,activelayer,1,HEAL,505,5,0.1,24
116,506,-0.47,47,Exclude,NA,activelayer,1,HEAL,506,1,0.1,24
117,506,-0.46,46,Exclude,NA,activelayer,1,HEAL,506,2,0.1,24
118,506,-0.46,46,Exclude,NA,activelayer,1,HEAL,506,3,0.1,24
119,506,-0.46,46,Exclude,NA,activelayer,1,HEAL,506,4,0.1,24
120,506,-0.46,46,Exclude,NA,activelayer,1,HEAL,506,5,0.1,24
121,507,-0.67,67,Exclude,NA,activelayer,1,HEAL,507,1,0.1,24
122,507,-0.66,66,Exclude,NA,activelayer,1,HEAL,507,2,0.1,24
123,507,-0.66,66,Exclude,NA,activelayer,1,HEAL,507,3,0.1,24
124,507,-0.66,66,Exclude,NA,activelayer,1,HEAL,507,4,0.1,24
125,507,-0.66,66,Exclude,NA,activelayer,1,HEAL,507,5,0.1,24
126,508,-0.97,97,Exclude,NA,activelayer,1,HEAL,508,1,0.1,24
127,508,-0.96,96,Exclude,NA,activelayer,1,HEAL,508,2,0.1,24
128,508,-0.96,96,Exclude,NA,activelayer,1,HEAL,508,3,0.1,24
129,508,-0.96,96,Exclude,NA,activelayer,1,HEAL,508,4,0.1,24
130,508,-0.96,96,Exclude,NA,activelayer,1,HEAL,508,5,0.1,24
131,509,-1.57,157,Exclude,NA,activelayer,1,HEAL,509,1,0.1,24
132,509,-1.36,136,Exclude,NA,activelayer,1,HEAL,509,2,0.1,24
133,509,-1.26,126,Exclude,NA,activelayer,1,HEAL,509,3,0.1,24
134,509,-1.66,166,Exclude,NA,activelayer,1,HEAL,509,4,0.1,24
135,509,-1.26,126,Exclude,NA,activelayer,1,HEAL,509,5,0.1,24
137,501,-0.02,2,Exclude,NA,activelayer,1,TOOL,501,2,0.1,24
140,501,-0.02,2,Exclude,NA,activelayer,1,TOOL,501,5,0.1,24
142,502,-0.06,6,Exclude,NA,activelayer,1,TOOL,502,2,0.1,24
145,502,-0.06,6,Exclude,NA,activelayer,1,TOOL,502,5,0.1,24
147,503,-0.16,16,Exclude,NA,activelayer,1,TOOL,503,2,0.1,24
150,504,-0.26,26,Exclude,NA,activelayer,1,TOOL,504,2,0.1,24
153,505,-0.36,36,Exclude,NA,activelayer,1,TOOL,505,2,0.1,24
156,506,-0.46,46,Exclude,NA,activelayer,1,TOOL,506,2,0.1,24
165,501,-0.02,2,Exclude,NA,activelayer,2,BARR,501,4,0.1,24
172,503,-0.16,16,Exclude,NA,activelayer,2,BARR,503,1,0.1,24
173,503,-0.16,16,Exclude,NA,activelayer,2,BARR,503,2,0.1,24
178,504,-0.26,26,Exclude,NA,activelayer,2,BARR,504,2,0.1,24
183,505,-0.36,36,Exclude,NA,activelayer,2,BARR,505,2,0.1,24
191,506,-0.56,56,Exclude,NA,activelayer,2,BARR,506,5,0.1,24
226,504,-0.27,27,Exclude,NA,activelayer,2,BONA,504,5,0.1,24
254,501,-0.02,2,Exclude,NA,activelayer,2,HEAL,501,3,0.1,24
273,505,-0.36,36,Exclude,NA,activelayer,2,HEAL,505,2,0.1,24
280,506,-0.46,46,Exclude,NA,activelayer,2,HEAL,506,4,0.1,24
282,507,-0.67,67,Exclude,NA,activelayer,2,HEAL,507,1,0.1,24
287,508,-0.97,97,Exclude,NA,activelayer,2,HEAL,508,1,0.1,24
312,504,-0.26,26,Exclude,NA,activelayer,2,TOOL,504,3,0.1,24
323,501,-0.02,2,Exclude,NA,spring,1,BARR,501,1,0.1,24
324,501,-0.02,2,Exclude,NA,spring,1,BARR,501,2,0.1,24
325,501,-0.01,1,Exclude,NA,spring,1,BARR,501,3,0.1,24
326,501,-0.02,2,Exclude,NA,spring,1,BARR,501,4,0.1,24
327,501,-0.02,2,Exclude,NA,spring,1,BARR,501,5,0.1,24
328,502,-0.06,6,Exclude,NA,spring,1,BARR,502,1,0.1,24
329,502,-0.06,6,Exclude,NA,spring,1,BARR,502,2,0.1,24
330,502,-0.05,5,Exclude,NA,spring,1,BARR,502,3,0.1,24
331,502,-0.06,6,Exclude,NA,spring,1,BARR,502,4,0.1,24
332,502,-0.06,6,Exclude,NA,spring,1,BARR,502,5,0.1,24
333,503,-0.16,16,Exclude,NA,spring,1,BARR,503,1,0.1,24
334,503,-0.16,16,Exclude,NA,spring,1,BARR,503,2,0.1,24
335,503,-0.15,15,Exclude,NA,spring,1,BARR,503,3,0.1,24
336,503,-0.16,16,Exclude,NA,spring,1,BARR,503,4,0.1,24
337,503,-0.16,16,Exclude,NA,spring,1,BARR,503,5,0.1,24
338,504,-0.26,26,Exclude,NA,spring,1,BARR,504,1,0.1,24
339,504,-0.26,26,Exclude,NA,spring,1,BARR,504,2,0.1,24
340,504,-0.25,25,Exclude,NA,spring,1,BARR,504,3,0.1,24
341,504,-0.26,26,Exclude,NA,spring,1,BARR,504,4,0.1,24
342,504,-0.26,26,Exclude,NA,spring,1,BARR,504,5,0.1,24
343,505,-0.36,36,Exclude,NA,spring,1,BARR,505,1,0.1,24
344,505,-0.36,36,Exclude,NA,spring,1,BARR,505,2,0.1,24
345,505,-0.35,35,Exclude,NA,spring,1,BARR,505,3,0.1,24
346,505,-0.36,36,Exclude,NA,spring,1,BARR,505,4,0.1,24
347,505,-0.36,36,Exclude,NA,spring,1,BARR,505,5,0.1,24
348,506,-0.56,56,Exclude,NA,spring,1,BARR,506,1,0.1,24
349,506,-0.56,56,Exclude,NA,spring,1,BARR,506,2,0.1,24
350,506,-0.55,55,Exclude,NA,spring,1,BARR,506,3,0.1,24
351,506,-0.56,56,Exclude,NA,spring,1,BARR,506,4,0.1,24
352,506,-0.56,56,Exclude,NA,spring,1,BARR,506,5,0.1,24
353,507,-0.86,86,Exclude,NA,spring,1,BARR,507,1,0.1,24
354,507,-0.86,86,Exclude,NA,spring,1,BARR,507,2,0.1,24
355,507,-0.85,85,Exclude,NA,spring,1,BARR,507,3,0.1,24
356,507,-0.86,86,Exclude,NA,spring,1,BARR,507,4,0.1,24
357,507,-0.86,86,Exclude,NA,spring,1,BARR,507,5,0.1,24
358,508,-1.36,136,Exclude,NA,spring,1,BARR,508,1,0.1,24
359,508,-1.36,136,Exclude,NA,spring,1,BARR,508,2,0.1,24
360,508,-1.35,135,Exclude,NA,spring,1,BARR,508,3,0.1,24
361,508,-1.36,136,Exclude,NA,spring,1,BARR,508,4,0.1,24
362,508,-1.36,136,Exclude,NA,spring,1,BARR,508,5,0.1,24
363,509,-1.76,176,Exclude,NA,spring,1,BARR,509,1,0.1,24
364,509,-2.26,226,Exclude,NA,spring,1,BARR,509,2,0.1,24
365,509,-1.75,175,Exclude,NA,spring,1,BARR,509,3,0.1,24
366,509,-1.96,196,Exclude,NA,spring,1,BARR,509,4,0.1,24
367,509,-1.86,186,Exclude,NA,spring,1,BARR,509,5,0.1,24
371,501,-0.02,2,Exclude,NA,spring,1,BONA,501,4,0.1,24
376,502,-0.06,6,Exclude,NA,spring,1,BONA,502,4,0.1,24
381,503,-0.16,16,Exclude,NA,spring,1,BONA,503,4,0.1,24
386,504,-0.26,26,Exclude,NA,spring,1,BONA,504,4,0.1,24
391,505,-0.46,46,Exclude,NA,spring,1,BONA,505,4,0.1,24
396,506,-0.76,76,Exclude,NA,spring,1,BONA,506,4,0.1,24
401,507,-1.06,106,Exclude,NA,spring,1,BONA,507,4,0.1,24
406,508,-1.56,156,Exclude,NA,spring,1,BONA,508,4,0.1,24
411,509,-1.96,196,Exclude,NA,spring,1,BONA,509,4,0.1,24
413,501,-0.03,3,Exclude,NA,spring,1,HEAL,501,1,0.1,24
419,502,-0.06,6,Exclude,NA,spring,1,HEAL,502,2,0.1,24
427,503,-0.16,16,Exclude,NA,spring,1,HEAL,503,5,0.1,24
434,505,-0.36,36,Exclude,NA,spring,1,HEAL,505,2,0.1,24
441,506,-0.46,46,Exclude,NA,spring,1,HEAL,506,4,0.1,24
487,501,-0.02,2,Exclude,NA,spring,2,BARR,501,4,0.1,24
494,503,-0.16,16,Exclude,NA,spring,2,BARR,503,1,0.1,24
495,503,-0.16,16,Exclude,NA,spring,2,BARR,503,2,0.1,24
500,504,-0.26,26,Exclude,NA,spring,2,BARR,504,2,0.1,24
