"FT_col","ID","W","Mass","formula","presence","Site","Trtmt","Material","max_reps","formulareps","include"
"FT","01","C",255.2329247,"C16H32O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",269.212188,"C16H30O3",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",271.2278476,"C16H32O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",283.2642271,"C18H36O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",285.2070928,"C16H30O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",285.2434968,"C17H34O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",293.1758208,"C17H26O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",297.2435341,"C18H34O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",297.2799208,"C19H38O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",299.222819,"C17H32O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",299.2592017,"C18H36O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",301.20205,"C16H30O5",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",301.2384346,"C17H34O4",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",309.1707577,"C17H26O5",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",309.2071608,"C18H30O4",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",309.3163161,"C21H42O1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",311.1686928,"C17H28O3S1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",311.2228263,"C18H32O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",311.2592288,"C19H36O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",311.2955555,"C20H40O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",313.2384604,"C18H34O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",313.2748697,"C19H38O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",315.2541306,"C18H36O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",319.134056,"C21H20O3",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",323.2228231,"C19H32O4",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",323.2956079,"C21H40O2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",325.1843128,"C18H30O3S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",325.2020801,"C18H30O5",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",325.27489,"C20H38O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",325.3112736,"C21H42O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",327.2177927,"C18H32O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",327.2541126,"C19H36O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",329.233381,"C18H34O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",329.2698167,"C19H38O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",331.0823531,"C17H16O7",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",331.2490916,"C18H36O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",333.3163591,"C23H42O1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",337.3113007,"C22H42O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",339.2905037,"C21H40O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",341.1970439,"C18H30O6",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",341.3061233,"C21H42O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",343.2126993,"C18H32O6",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",343.2490741,"C19H36O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",343.2853978,"C20H40O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",345.2283212,"C18H34O6",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",348.275641,"C18H39O5N1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",351.2541388,"C21H36O4",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",351.3269529,"C23H44O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",353.2698249,"C21H38O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",353.3061586,"C22H42O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",353.3425361,"C23H46O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",355.2490286,"C20H36O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",355.2854604,"C21H40O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",357.3011039,"C21H42O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",359.2074673,"C18H32O7",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",359.244005,"C19H36O6",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",362.2912659,"C19H41O5N1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",365.2697872,"C22H38O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",365.3425561,"C24H46O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",367.2854803,"C22H40O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",367.3217966,"C23H44O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",369.2647318,"C21H38O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",369.3373274,"C23H46O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",371.0924908,"C23H16O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",371.2804065,"C21H40O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",371.3167443,"C22H44O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",375.3269399,"C25H44O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",377.3062273,"C24H42O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",378.2862138,"C19H41O6N1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
