"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",200.0564403,"C8H11O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",201.0404621,"C8H10O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",201.0516929,"C7H10O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",201.076842,"C9H14O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",201.0880689,"C8H14O4N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",201.113231,"C10H18O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",202.0720869,"C8H13O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",203.0349837,"C11H8O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",203.0561171,"C8H12O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",203.0713551,"C12H12O3",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",203.0924931,"C9H16O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",204.0302453,"C10H7O4N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",205.0142589,"C10H6O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",205.0353962,"C7H10O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",205.0506356,"C11H10O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",205.0717552,"C8H14O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",205.0870176,"C12H14O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",205.1597854,"C14H22O1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",206.0458707,"C10H9O4N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",207.0299073,"C10H8O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",207.0510369,"C7H12O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",207.0662818,"C11H12O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",207.1026686,"C12H16O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",208.061525,"C10H11O4N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",209.0091526,"C9H6O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",209.045552,"C10H10O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",209.0819341,"C11H14O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",209.1183175,"C12H18O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",210.0408152,"C9H9O5N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",211.0248264,"C9H8O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",211.061204,"C10H12O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",211.0975873,"C11H16O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",211.133968,"C12H20O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",212.0564653,"C9H11O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",213.0404717,"C9H10O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
