"Mass","formula","HC","OC"
201.113245,"C10H18O4",1.8,0.4
201.14965,"C11H22O3",2,0.27
203.092557,"C9H16O5",1.78,0.56
203.1289035,"C10H20O4",2,0.4
204.971327,"C8H2O3N2S1",0.25,0.38
204.996429,"C10H6O3S1",0.6,0.3
206.042704,"C6H13O1N3S2",2.17,0.17
207.029939,"C10H8O5",0.8,0.5
209.045506,"C10H10O5",1,0.5
209.081975,"C11H14O4",1.27,0.36
210.956277,"C5H8O3S3",1.6,0.6
211.0248242,"C9H8O6",0.89,0.67
211.0611985,"C10H12O5",1.2,0.5
211.134016,"C12H20O3",1.67,0.25
213.0152555,"C7H6O6N2",0.86,0.86
213.1131901,"C11H18O4",1.64,0.36
213.1496667,"C12H22O3",1.83,0.25
213.186025,"C13H26O2",2,0.15
215.092507,"C10H16O5",1.6,0.5
215.1288947,"C11H20O4",1.82,0.36
215.1653062,"C12H24O3",2,0.25
217.1081315,"C10H18O5",1.8,0.5
217.134675,"C13H18O1N2",1.38,0.08
218.078286,"C7H13O5N3",1.86,0.71
219.066331,"C12H12O4",1,0.33
219.134982,"C9H20O4N2",2.22,0.44
219.153639,"C10H24O1N2S1",2.4,0.1
219.958767,"C4H4O4N3S1P1",1,1
219.970987,"C9H3O4N1S1",0.33,0.44
220.966292,"C8H2O4N2S1",0.25,0.5
221.154767,"C14H22O2",1.57,0.14
222.077125,"C11H13O4N1",1.18,0.36
223.079772,"C12H16O2S1",1.33,0.17
223.097554,"C12H16O4",1.33,0.33
225.0404198,"C10H10O6",1,0.6
225.076809,"C11H14O5",1.27,0.45
225.113238,"C12H18O4",1.5,0.33
227.0924743,"C11H16O5",1.45,0.45
227.12892,"C12H20O4",1.67,0.33
227.165274,"C13H24O3",1.85,0.23
227.2016811,"C14H28O2",2,0.14
229.108191,"C11H18O5",1.64,0.45
229.144555,"C12H22O4",1.83,0.33
229.180952,"C13H26O3",2,0.23
231.1238535,"C11H20O5",1.82,0.45
231.967026,"C5H3O6N3S1",0.6,1.2
232.174112,"C12H27O1N1S1",2.25,0.08
233.154701,"C15H22O2",1.47,0.13
235.061221,"C12H12O5",1,0.42
235.097562,"C13H16O4",1.23,0.31
237.0404835,"C11H10O6",0.91,0.55
237.076824,"C12H14O5",1.17,0.42
237.14966,"C14H22O3",1.57,0.21
239.0349783,"C14H8O4",0.57,0.29
239.0925102,"C12H16O5",1.33,0.42
239.1288466,"C13H20O4",1.54,0.31
239.14011,"C12H20O3N2",1.67,0.25
239.1652937,"C14H24O3",1.71,0.21
239.2016668,"C15H28O2",1.87,0.13
241.050629,"C14H10O4",0.71,0.29
241.071786,"C11H14O6",1.27,0.55
241.1081909,"C12H18O5",1.5,0.42
241.1445463,"C13H22O4",1.69,0.31
241.2173094,"C15H30O2",2,0.13
242.1761633,"C13H25O3N1",1.92,0.23
243.062257,"C9H12O6N2",1.33,0.67
243.1237693,"C12H20O5",1.67,0.42
243.1602176,"C13H24O4",1.85,0.31
243.175442,"C17H24O1",1.41,0.06
243.1965543,"C14H28O3",2,0.21
245.103082,"C11H18O6",1.64,0.55
245.1394653,"C12H22O5",1.83,0.42
245.175809,"C13H26O4",2,0.31
247.024743,"C12H8O6",0.67,0.5
247.061241,"C13H12O5",0.92,0.38
247.1339255,"C15H20O3",1.33,0.2
248.14043,"C13H19O2N3",1.46,0.15
249.07688,"C13H14O5",1.08,0.38
249.1496378,"C15H22O3",1.47,0.2
250.1449,"C14H21O3N1",1.5,0.21
251.056131,"C12H12O6",1,0.5
251.1288093,"C14H20O4",1.43,0.29
251.165291,"C15H24O3",1.6,0.2
251.201687,"C16H28O2",1.75,0.12
251.989782,"C8H3O7N3",0.38,0.88
252.091127,"C9H19O5N1S1",2.11,0.56
253.035353,"C11H10O7",0.91,0.64
253.086952,"C16H14O3",0.88,0.19
253.1081317,"C13H18O5",1.38,0.38
253.1445384,"C14H22O4",1.57,0.29
253.217318,"C16H30O2",1.88,0.12
253.985955,"C9H6O6N1P1",0.67,0.67
254.057141,"C13H9O3N3",0.69,0.23
255.1237435,"C13H20O5",1.54,0.38
255.1602183,"C14H24O4",1.71,0.29
255.1965689,"C15H28O3",1.87,0.2
255.2329247,"C16H32O2",2,0.12
257.04554,"C14H10O5",0.71,0.36
