uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF
50d11299-8ffe-43e1-a4e4-606ef5aed497,BARR_011.basePlot.all,D18,BARR,BARR_011,S2018AK185011,5/10/2018,18N05565,Oe,8/17/2018,S2018AK185011-1,bulk,4,24,14,1.14,0,,11.2,0.4,11.5,1.9,62,,25,40,,,,,6.3,7.2,1.05,,0,0.3,1,0,0.23,0,1123.1,0.3,0,0.6,1.3,0,0,0,4.9,,0.2,339.8,15.9,21,340,2.2,0.12,1.18,37.8,0,0.01,0.17,0.1,1.1,0,0,76.3,,0.6,,4.7,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
ec88b7fe-1baf-4e85-a5a5-760e808abac9,BARR_004.basePlot.all,D18,BARR,BARR_004,S2018AK185004,5/10/2018,18N05558,Cf,8/17/2018,S2018AK185004-3,bulk,34,52,43,1.042,,,8.9,0.2,2.1,0.2,24.6,7,11.4,46,12.3,0.9,,191,4.5,5.2,0.16,,,,,,,,,,,,,,,,,,,67.4,3.6,18,67,0.7,0.13,1.18,232.7,162.1,0.03,0.27,0.1,1.2,0,0,26.6,,1.1,,12.5,,USDA NRCS Kellogg Soil Survey Laboratory,
5ea476bb-7a6e-48ba-9a93-b6d8287e6541,BARR_005.basePlot.all,D18,BARR,BARR_005,S2018AK185005,5/10/2018,18N05560,Ajj/Cgjj,8/17/2018,S2018AK185005-2,bulk,18,33,25.5,1.118,0,,14.7,0.1,6.5,0.5,28.5,,21.8,76,,,,,5.3,5.8,0.61,,0,2.4,1.5,0,0.67,0,127.2,2.4,0.1,2.6,1.6,0,0,0,6,,3.7,119.8,6.5,18,120,1.4,0.07,0.51,35.5,26.6,0.02,0.16,0.1,0.5,0,0,24.2,,1.4,,0.9,,USDA NRCS Kellogg Soil Survey Laboratory,
081734f2-a45f-4eda-8563-2e351e5e05a7,BARR_027.basePlot.all,D18,BARR,BARR_027,S2018AK185027,5/10/2018,18N05595,Oe,8/17/2018,S2018AK185027-1,bulk,0,24,12,1.183,0,,4,0.7,5.9,2.5,62.4,3,13.1,21,13.5,0.4,,154.6,,,3.3,,0,0.5,2.9,0,0.43,0,1663.2,0.6,0.3,0.8,1.8,0,0,0,4.3,,0.1,481.4,18.8,26,481,1.9,0.02,2.38,129.5,204.8,0.02,0.23,0,2.2,0,0,110.1,,1.3,,15.9,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
ca8d915e-4dd4-4eaf-80fd-74da3690dd72,BARR_026.basePlot.all,D18,BARR,BARR_026,S2018AK185026,5/10/2018,18N05593,Ajj,8/17/2018,S2018AK185026-2,bulk,39,70,54.5,1.053,,,15.3,0.4,5.2,0.6,33.1,1,21.5,65,21.7,0.2,,71.4,4.7,5.3,0.35,,0,2.3,1.7,0,0.57,0,109.2,1.3,0.1,1.5,2,0,0,0,5.2,,2,95.5,6.3,15,96,1.4,0.13,0.91,74,159.6,0.03,0.45,0.1,1.1,0,0,29.9,,1.4,,4.1,,USDA NRCS Kellogg Soil Survey Laboratory,
1293c460-81ac-4ad4-b8f3-79ae3f307100,BARR_015.basePlot.all,D18,BARR,BARR_015,S2018AK185015,5/10/2018,18N05576,Cfg,8/17/2018,S2018AK185015-2,bulk,40,100,70,1.031,,,14.7,0.4,6.5,0.2,15.5,,21.8,100,,,,,6.8,7.3,0.39,,0,3.4,2.4,0,0.67,0,76.3,3,0.3,2.7,1,0,0,0,7.1,,1.1,46.4,2.7,17,46,0.6,0.06,1.09,72,377.5,0,0.13,0.1,1.1,0,0.1,5.2,,9.8,,13.7,,USDA NRCS Kellogg Soil Survey Laboratory,
04a245bb-d57a-48ee-aaf8-658adeb97061,BARR_011.basePlot.all,D18,BARR,BARR_011,S2018AK185011,5/10/2018,18N05566,Oe/Cgjj,8/17/2018,S2018AK185011-2,bulk,24,56,40,1.037,,,3.3,0.2,2.4,0.3,17,11,6.2,36,7,0.8,,32.1,4.1,4.8,0.31,,0,0.4,1,0,0.28,0,194.8,0.3,0.1,0.5,1.4,0,0,0,4.9,,0.9,84.5,4.4,19,85,1,0.06,0.53,43.8,108.4,0,0.07,0.1,0.7,0,0,20,,3.5,,7.5,,USDA NRCS Kellogg Soil Survey Laboratory,
ddb5bb5e-960d-4d18-b6e9-51864ceff179,BARR_022.basePlot.all,D18,BARR,BARR_022,S2018AK185022,5/10/2018,18N05586,Oe,8/17/2018,S2018AK185022-1,bulk,0,30,15,1.187,0,,9.7,0.9,4.1,1.2,64.8,2,15.9,25,16.2,0.3,,315.4,,,1.9,,0,0.5,2,0,0.34,0,1268.2,0.7,0.6,0.4,1.3,0,0,0,5,,0.1,480.1,21.4,22,480,2.2,0.05,3.3,316.2,307.8,0,0.49,0.1,3.3,0,0,115.5,,0.7,,13.5,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
fb12aef6-bd2f-4a68-9798-cd9cbdfa8ad9,BARR_005.basePlot.all,D18,BARR,BARR_005,S2018AK185005,5/10/2018,18N05562,Cgjjf/Ajjf2,8/17/2018,S2018AK185005-4,bulk,62,100,81,1.011,0,40,15,0.1,3.2,0.8,5.2,,19.1,100,,,,,7.7,8,0.72,,0,9.3,17.1,0,2.85,0,68.6,2.6,0.5,6.6,13.5,0,0,0,7.8,,10.9,11.9,0.7,10,7,0.2,0.03,0.3,83.5,55.3,0,0.1,0,0.7,0,0,0,,8.2,,4.9,,USDA NRCS Kellogg Soil Survey Laboratory,
54d1ec7e-b126-4b66-901f-faaa3ef6c6c3,BARR_024.basePlot.all,D18,BARR,BARR_024,S2018AK185024,5/10/2018,18N05588,Oe,8/17/2018,S2018AK185024-1,bulk,0,26,13,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.3,20.8,22,457,2.7,0,0,0,0,0,,0.1,1.3,0,0,,,,,16.9,,USDA NRCS Kellogg Soil Survey Laboratory,
