uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF
00a860c3-4b4e-48af-9283-4fd8ee748cbc,BONA_018.basePlot.all,D19,BONA,BONA_018,S2018AK090018,7/16/2018,19N00365,Bw,11/17/2018,S2018AK090018-4,bulk,34,70,52,1.011,,0,0.5,0.1,0.1,0,11,,,,,4.1,,2.5,3.9,4.8,0.04,,,,,,,,,,,,,,,,,,,20.9,1.2,17,21,0.1,0.19,0.54,65.4,304,0.02,0.19,0.2,1.2,0,0,19,,5.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
06f0a90b-8281-4b5b-b10f-8acd135cb77b,BONA_018.basePlot.all,D19,BONA,BONA_018,S2018AK090018,7/16/2018,19N00364,AB,11/17/2018,S2018AK090018-3,bulk,12,34,23,1.021,,0,1.2,0.1,0.2,0.1,22.3,,,,,8.2,,6.6,3.6,4.4,0.08,,,,,,,,,,,,,,,,,,,66.9,3.8,18,67,0.2,0.28,0.62,25.4,636.2,0.02,0.37,0.3,1,0,0.1,41.9,,3.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
ff7e9df6-6005-4d0a-9160-f0ba34be463b,BONA_018.basePlot.all,D19,BONA,BONA_018,S2018AK090018,7/16/2018,19N00362,Oe,11/15/2018,S2018AK090018-1,bulk,0,10,5,1.084,0,,7,3,2.6,0.1,99.2,,,,,6.9,,91.6,3.6,4.5,1.51,,0,0.2,0.4,0,0.46,0.1,759.2,0,0.8,0.1,0.3,0,0,0.7,4.4,,0.1,459.5,21.1,22,460,1.1,0.45,0.64,86.5,1519.6,0.01,0.54,0.5,0.7,0,0,152.5,,133.1,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
d59dc125-a823-4253-ac4e-d87179727c7f,BONA_018.basePlot.all,D19,BONA,BONA_018,S2018AK090018,7/16/2018,19N00363,A,11/17/2018,S2018AK090018-2,bulk,10,12,11,1.037,,0,1.4,0.4,0.5,0,40.1,,,,,12,,6.2,3.5,4.4,0.33,,0,0.2,0.3,0,0.18,0,182.9,0,0.2,0.2,0.3,0,0.1,0,4.2,,0.6,106.2,8.2,13,106,0.3,0.57,1.52,33.1,1661.3,0.06,0.61,0.7,2,0,0.1,85.3,,7.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
89efef00-79fa-49ca-aced-0f007dcbb3cb,BONA_019.basePlot.all,D19,BONA,BONA_019,S2018AK090019,7/17/2018,19N00368,AB,11/17/2018,S2018AK090019-3,bulk,9,27,18,1.018,,0,0.4,0.2,0.1,0,16.4,,,,,5.9,,3.2,3.9,4.6,0.06,,,,,,,,,,,,,,,,,,,36.5,1.5,24,36,0.3,0.33,0.75,39.8,278.9,0.04,0.3,0.3,1.2,0,0,28.4,,4.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
1f37511b-1ddb-45ca-accd-84a661284527,BONA_001.basePlot.all,D19,BONA,BONA_001,S2018AK090001,7/17/2018,19N00324,C,11/14/2018,S2018AK090001-4,bulk,52,76,64,1.011,,,1.4,0.1,0.3,0,9.9,,,,,3.1,,4.3,3.9,4.7,0.05,,,,,,,,,,,,,,,,,,,10.4,0.7,15,10,0,0.12,0.39,159.7,116.5,0.02,0.08,0.2,1.6,0,0.1,15.1,,8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
96797d81-5f30-453f-b357-b675f5d3c10d,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00331,A,11/14/2018,S2018AK090003-3,bulk,16,26,21,1.043,,,2.3,0.2,0.7,0.1,40.5,,,,,10.6,,11.6,3.6,4.2,0.29,,0,0.5,0.2,0,0.2,0,163.2,0,0.1,0.4,0.3,0,0,0,4.1,,0.3,155.4,7.6,20,155,0.9,0.4,0.81,18.2,545.5,0.03,0.69,0.4,1.2,0,0.1,68.5,,1.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
91d10871-b49d-4376-b426-9852f76c8953,BONA_019.basePlot.all,D19,BONA,BONA_019,S2018AK090019,7/17/2018,19N00367,A,11/17/2018,S2018AK090019-2,bulk,5,9,7,1.05,,0,3.3,1.2,1.1,0.1,57,,,,,10.4,,47.8,3.3,4,0.57,,,,,,,,,,,,,,,,,,,261.9,6.5,40,262,0.4,0.39,0.41,55.3,642.6,0.01,0.58,0.4,0.7,0,0.1,98.5,,40.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
1c1694d0-d622-4399-9997-91509ebe1e82,BONA_015.basePlot.all,D19,BONA,BONA_015,S2018AK090015,7/17/2018,19N00356,BC,11/15/2018,S2018AK090015-3,bulk,34,63,48.5,1.012,,,1.3,0.1,0.3,0,12.6,,,,,4.6,,3.8,3.9,4.6,0.06,,,,,,,,,,,,,,,,,,,17.7,1,18,18,0,0.17,0.54,122.9,170.3,0.02,0.12,0.2,1.4,0,0.1,18.2,,5.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
c891739f-c119-4bc0-a3d0-ed0778e08104,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00329,Oi,11/14/2018,S2018AK090003-1,bulk,0,9,4.5,1.088,,,12.8,2.3,5,0.1,74,,,,,7.1,,262.9,3,3.6,0.23,,,,,,,,,,,,,,,,,,,501.3,10.3,48,501,0.5,0.16,0.13,184.8,84.3,0,0.07,0.2,0.2,0,0,142.2,,23.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
f4a3d9dd-eaca-48d0-807a-364dc910fdf0,BONA_016.basePlot.all,D19,BONA,BONA_016,S2018AK090016,7/17/2018,19N00359,A,11/15/2018,S2018AK090016-2,bulk,18,20,19,1.039,,,10.5,0.4,1.3,0,36.4,,,,,3.2,,247.9,4,4.7,0.32,,0,1.1,0.3,0,0.2,0.1,217.2,0,0.2,0.4,0.2,0,0.1,0,4.5,,0.6,190.5,9.1,21,191,0.9,0.22,0.76,352.1,443,0.02,0.45,0.2,1.1,0,0.1,53.4,,2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
b3441cfa-c040-4620-99d8-28b6405af0d4,BONA_019.basePlot.all,D19,BONA,BONA_019,S2018AK090019,7/17/2018,19N00371,B'w,11/17/2018,S2018AK090019-6,bulk,60,67,63.5,1.011,,0,0.9,0.1,0.1,0,6.7,,,,,2,,3.4,4.4,5.5,0.02,,,,,,,,,,,,,,,,,,,10,0.7,14,10,0,0.28,0.56,219.6,319.8,0.05,0.11,0.3,1,0,0.1,12.8,,21,,,,USDA NRCS Kellogg Soil Survey Laboratory,
61f94737-0e4f-4d70-adce-4bb51a6b0f4c,BONA_015.basePlot.all,D19,BONA,BONA_015,S2018AK090015,7/17/2018,19N00357,C,11/15/2018,S2018AK090015-4,bulk,63,80,71.5,1.01,,,2.5,0.8,0.6,0,9.7,,,,,2.7,,2.8,4,4.9,0.04,,,,,,,,,,,,,,,,,,,10,0.8,12,10,0,0.11,0.39,175.3,141.2,0.02,0.09,0.1,1.4,0,0.1,13.8,,7.8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
68dcebdb-072d-4074-b530-b8b70a32f281,BONA_019.basePlot.all,D19,BONA,BONA_019,S2018AK090019,7/17/2018,19N00369,Bw,11/17/2018,S2018AK090019-4,bulk,27,44,35.5,1.017,,0,0.3,0.1,0,0,14.1,,,,,3.9,,1.2,4.2,4.9,0.03,,,,,,,,,,,,,,,,,,,29.8,1.4,21,30,0.1,0.44,0.93,23.4,325,0.04,0.25,0.4,1.4,0,0,26.3,,2.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
a0ff9544-f74d-4ced-8b69-009703afd9ce,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00332,Bw1,11/15/2018,S2018AK090003-4,bulk,26,50,38,1.012,,,0.6,0.1,0,0,9.6,,,,,4.1,,8.2,3.8,4.6,0.03,,,,,,,,,,,,,,,,,,,15.4,1.1,14,15,0.1,0.15,0.41,49.1,202.2,0.01,0.13,0.2,1.4,0,0,17.1,,10.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
bfb632bd-08cc-4823-8171-465eb4148d09,BONA_015.basePlot.all,D19,BONA,BONA_015,S2018AK090015,7/17/2018,19N00354,Oe,11/15/2018,S2018AK090015-1,bulk,0,7,3.5,1.073,,,20.3,2.4,3.7,0.1,89.5,,,,,1.3,,94.6,4,4.6,2.76,,0,2,0.7,0,1.45,0.1,316.5,0,1.3,0.8,0.4,0,4.4,0.3,4.6,,1.3,429,21.8,20,429,1.1,0.38,0.52,343.8,980.1,0.02,0.47,0.4,0.7,0,0.1,118.7,,222.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
5029ad05-e46d-4262-8e9a-cfc64b665474,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00330,Oe,11/14/2018,S2018AK090003-2,bulk,9,16,12.5,1.087,0,,10.9,1.5,3,0.1,99.7,,,,,15.1,,66.7,3.3,4,0.84,,0,0.3,0.3,0,0.22,0.2,705.1,0,0.4,0.2,0.2,0,0.1,0,4,,0.3,446.1,15,30,446,1.2,0.42,0.41,61.3,198.9,0.01,0.35,0.5,0.5,0,0,147.8,,9,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
fa439a73-31c4-4ca9-9fad-601f02904aed,BONA_016.basePlot.all,D19,BONA,BONA_016,S2018AK090016,7/17/2018,19N00360,AB,11/15/2018,S2018AK090016-3,bulk,20,45,32.5,1.011,,,2.3,0.1,0.3,0,12.2,,,,,3.1,,34.2,3.9,4.7,0.05,,,,,,,,,,,,,,,,,,,28.6,1.7,17,29,0.2,0.12,0.32,79.7,213.9,0.02,0.18,0.1,0.7,0,0,16.8,,4.1,,,,USDA NRCS Kellogg Soil Survey Laboratory,
f7879d9d-4955-493a-99b1-7f419773a299,BONA_015.basePlot.all,D19,BONA,BONA_015,S2018AK090015,7/17/2018,19N00355,Bw,11/15/2018,S2018AK090015-2,bulk,7,34,20.5,1.024,,,2,0.2,0.3,0,27.4,,,,,9.5,,5.8,3.8,4.6,0.11,,,,,,,,,,,,,,,,,,,59.3,3,20,59,0.1,0.37,0.81,34.9,199.9,0.03,0.33,0.3,1.5,0,0.1,43.6,,3.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
1c819e9a-ddc7-4cf2-8b15-a22d02b2e63d,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00334,Ab,11/15/2018,S2018AK090003-6,bulk,95,105,100,1.042,,,3.4,0.2,0.7,0,37.5,,,,,8.2,,85.2,3.9,4.6,0.25,,,,,,,,,,,,,,,,,,,162.6,7.7,21,163,0.9,0.53,0.71,98.7,968.7,0.02,0.74,0.6,1,0,0,73,,10.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
ed15f9c7-2a33-45b4-a5cd-af3e2d16174d,BONA_001.basePlot.all,D19,BONA,BONA_001,S2018AK090001,7/17/2018,19N00323,BC,11/14/2018,S2018AK090001-3,bulk,25,52,38.5,1.021,,,1.6,0.2,0.3,0,20.9,,,,,7.9,,3.2,3.8,4.4,0.07,,,,,,,,,,,,,,,,,,,39,1.8,21,39,0.1,0.28,0.65,31.3,117.2,0.02,0.22,0.2,1.6,0,0.1,38.7,,2.8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
432203c0-073d-4019-a3b1-74294c05a902,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00335,2C,11/15/2018,S2018AK090003-7,bulk,105,120,112.5,1.014,,,0.7,0.1,0.2,0,13.3,,,,,4.3,,20,3.8,4.6,0.04,,,,,,,,,,,,,,,,,,,29.3,1.5,19,29,0.2,0.15,0.44,40.2,289.4,0.01,0.24,0.2,1.4,0,0,22,,15.8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
8edde669-a71a-462b-a84c-84c64c8019ab,BONA_019.basePlot.all,D19,BONA,BONA_019,S2018AK090019,7/17/2018,19N00370,ABb,11/17/2018,S2018AK090019-5,bulk,44,60,52,1.014,,0,0.4,0.1,0,0,12.4,,,,,3.6,,1.8,4.2,5,0.03,,,,,,,,,,,,,,,,,,,25,1.3,19,25,0.1,0.39,0.69,31.2,342.6,0.04,0.21,0.3,1.1,0,0,21.8,,4.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
f0f8c9b8-cb1a-42ca-b5aa-8afd21d5c778,BONA_001.basePlot.all,D19,BONA,BONA_001,S2018AK090001,7/17/2018,19N00322,Bw,11/14/2018,S2018AK090001-2,bulk,10,25,17.5,1.024,,,2.1,0.3,0.5,0,25.3,,,,,9.2,,8,3.7,4.3,0.1,,,,,,,,,,,,,,,,,,,52.1,2.6,20,52,0.2,0.32,0.68,29.7,147.4,0.02,0.3,0.3,1.5,0,0.1,45.4,,4.8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
6307cd57-79a6-49b0-b00d-53e581cb1134,BONA_016.basePlot.all,D19,BONA,BONA_016,S2018AK090016,7/17/2018,19N00361,Bw,11/15/2018,S2018AK090016-4,bulk,45,75,60,1.009,,,3.1,0,0.4,0,8.5,,,,,1.6,,70,4.2,5.1,0.04,,,,,,,,,,,,,,,,,,,8.5,0.7,12,9,0,0.09,0.29,228.6,135.4,0.01,0.09,0.1,0.8,0,0,10.2,,5.3,,,,USDA NRCS Kellogg Soil Survey Laboratory,
ae778ba6-974a-49bc-833b-b32306aa8f38,BONA_016.basePlot.all,D19,BONA,BONA_016,S2018AK090016,7/17/2018,19N00358,Oi,11/15/2018,S2018AK090016-1,bulk,0,18,9,1.088,,,28,2.1,4.8,0.1,93.9,,,,,1.5,,289.1,3.4,4.2,1.07,,0,0.6,0.2,0,0.15,0.1,1525.4,0.1,0.5,0.2,0.2,0,0,0.4,4.1,,0.1,495.2,9,55,495,0.3,0.06,0.08,207.5,82.1,0.01,0.07,0.1,0.1,0,0,110.6,,42.8,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
91526920-060d-4698-ba96-cf4253f2fd1d,BONA_003.basePlot.all,D19,BONA,BONA_003,S2018AK090003,7/17/2018,19N00333,Bw2,11/15/2018,S2018AK090003-5,bulk,50,95,72.5,1.01,,,0.6,0.2,0,0,8.9,,,,,3.5,,3.6,3.9,4.6,0.02,,,,,,,,,,,,,,,,,,,11.2,1,11,11,0,0.13,0.37,85.8,208.9,0.02,0.1,0.2,1.5,0,0,14.1,,18.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
8eeb0b6a-6fd0-4621-ba4f-3d8acc3b4f4d,BONA_001.basePlot.all,D19,BONA,BONA_001,S2018AK090001,7/17/2018,19N00321,Oe,11/14/2018,S2018AK090001-1,bulk,0,10,5,1.074,0,,16.1,6.7,7,0.1,97,,,,,0.5,,221.2,3.8,4.3,4.5,,0,2.1,0.7,0,1.61,0.1,489.9,0,3.7,1.3,0.3,0,0,7.4,4.2,,1.8,490.5,20.5,24,491,1.6,0.11,0.22,261.4,763.9,0.01,0.44,0.1,0.3,0,0.1,149.7,,324.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
6def41e8-88c3-4448-af82-8c6f3e79daa5,BONA_019.basePlot.all,D19,BONA,BONA_019,S2018AK090019,7/17/2018,19N00366,Oe,11/17/2018,S2018AK090019-1,bulk,0,5,2.5,1.08,0,0,9.5,4.2,3.2,0.1,70.3,,,,,,,,5.8,6.2,1.35,,,,,,,,,,,,,,,,,,,499.4,10.3,49,499,0.6,0.15,0.12,164.5,383,0.01,0.08,0.2,0.2,0,0,128.7,,138.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
d2057e32-a26f-487b-b566-9ca427fafdb8,BONA_013.basePlot.all,D19,BONA,BONA_013,S2018AK090013,7/18/2018,19N00350,A,11/15/2018,S2018AK090013-2,bulk,7,11,9,1.042,,,2,0.7,0.6,0.1,60.1,,,,,16.8,,4,3.1,3.8,0.45,,0,0.3,0.4,0,0.21,0.2,198.1,0,0.2,0.3,0.3,0,0,0,3.6,,0.3,182.1,8.2,22,182,0.4,0.41,0.57,7.3,1031.1,0.01,0.54,0.3,0.8,0,0.1,96.3,,13.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
d6b9119a-9b6b-447a-bfdd-8f4b48fda9c4,BONA_002.basePlot.all,D19,BONA,BONA_002,S2018AK090002,7/18/2018,19N00326,A,11/14/2018,S2018AK090002-2,bulk,5,16,10.5,1.045,,,4.8,0.7,1,0.1,49.3,,,,,9.3,,69.1,3.8,4.4,0.47,,0,0.8,0.4,0,0.32,0,152.6,0,0.3,0.6,0.3,0,1.1,0,4.3,,0.3,137.5,9.3,15,138,0.4,0.61,1.36,323.7,1848.5,0.03,0.63,0.5,1.8,0,0.1,84.4,,41.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
57a02644-e4b0-4852-adb5-79d66bcb0902,BONA_002.basePlot.all,D19,BONA,BONA_002,S2018AK090002,7/18/2018,19N00325,Oe,11/14/2018,S2018AK090002-1,bulk,0,5,2.5,1.083,0,,28.2,3.8,8,0.1,98.1,,,,,0.2,,822.4,4.4,4.8,3.73,,,,,,,,,,,,,,,,,,,506.7,27.5,18,507,1.6,0.17,0.18,1487.5,958.3,0.01,0.36,0.2,0.2,0.2,0,124.6,,387.3,,,,USDA NRCS Kellogg Soil Survey Laboratory,
ea127b1c-79bd-4da5-a8b2-ea19b096ef40,BONA_013.basePlot.all,D19,BONA,BONA_013,S2018AK090013,7/18/2018,19N00351,E,11/15/2018,S2018AK090013-3,bulk,11,17,14,1.019,,,0.5,0.1,0,0.1,18.8,,,,,14.1,,0.5,3.6,4.3,0.06,,,,,,,,,,,,,,,,,,,42.8,1.8,23,43,0.1,0.31,0.31,3,134.1,0.01,0.16,0.2,0.6,0,0,36.2,,2.3,,,,USDA NRCS Kellogg Soil Survey Laboratory,
4bd10864-10b8-4329-bc10-45fa2120c40b,BONA_013.basePlot.all,D19,BONA,BONA_013,S2018AK090013,7/18/2018,19N00352,Bw,11/15/2018,S2018AK090013-4,bulk,17,27,22,1.017,,,0.2,0.1,0,0,11.8,,,,,5.5,,0.9,4.2,5,0.03,,,,,,,,,,,,,,,,,,,21.4,1.3,16,21,0,0.4,0.99,18.4,113.2,0.06,0.14,0.4,1.7,0,0.1,21.2,,0.4,,,,USDA NRCS Kellogg Soil Survey Laboratory,
