uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF
9f5d11e9-72b5-47fd-aa87-68617c98e8e1,HEAL_045.basePlot.all,D19,HEAL,HEAL_045,S2017AK068045,3/20/2017,18N03025,C/Ajj1,6/22/2018,S2017AK068045-3,bulk,21,32,26.5,1.069,,,1.1,0.1,0.6,0,34.3,77,1.8,5,7.7,5.9,,2.8,3.6,4.4,0.12,,,,,,,,,,,,,,,,,,,268.1,12,22,268,1.2,0.24,0.45,3.2,287.4,0,0.22,0.2,0.5,0,0,64.3,,2.9,,,,USDA NRCS Kellogg Soil Survey Laboratory,
0c2a51b7-ed84-4139-af0c-53aed2db0085,HEAL_046.basePlot.all,D19,HEAL,HEAL_046,S2017AK068046,3/20/2017,18N03029,A/Cjj,6/22/2018,S2017AK068046-2,bulk,12,25,18.5,1.086,,,5.5,0.2,1.4,0,63.3,58,7.1,11,17.1,10,,8.9,3.8,4.4,0.42,,0,0.9,0.2,0,0.22,0.1,230.1,0.3,0.1,0.6,0.3,0,0,0,4.4,,0.3,252.9,11.5,22,253,0.9,0.58,1.86,33.3,1788.6,0.03,1.02,0.4,1.8,0,0.1,100.2,,1.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
7b61e97e-3026-481f-a1c1-61c9790fcaa4,HEAL_047.basePlot.all,D19,HEAL,HEAL_047,S2017AK068047,3/20/2017,18N03031,Oe,6/22/2018,S2017AK068047-1,bulk,0,17,8.5,1.14,0,,25.1,2.7,11.3,0,86.6,2,39.1,45,40,0.9,,188.2,,,1.25,,,,,,,,,,,,,,,,,,,473.9,17,28,474,1.2,0.13,0.47,274.6,396.4,0,0.3,0.1,0.6,0,0,93.5,,45.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
4fc3ab61-f3fd-4528-8748-416df7aaee30,HEAL_045.basePlot.all,D19,HEAL,HEAL_045,S2017AK068045,3/20/2017,18N03026,Ajj,6/22/2018,S2017AK068045-4,bulk,32,43,37.5,1.054,,,2.3,0.1,1.4,0,34.6,61,3.8,11,9.8,6,,1,3.5,4.2,0.1,,0,0.5,0.1,0,0.17,0,158.6,0,0.1,0.6,0.4,0,0,0,4.2,,0.2,177.8,6.9,26,178,0.6,0.22,0.69,1.1,177.3,0.01,0.53,0.2,0.8,0,0,48.4,,1.4,,,,USDA NRCS Kellogg Soil Survey Laboratory,
5a2f435a-b291-4e84-898f-ec023317f414,HEAL_045.basePlot.all,D19,HEAL,HEAL_045,S2017AK068045,3/20/2017,18N03024,A,6/22/2018,S2017AK068045-2,bulk,7,21,14,1.092,,,3.5,0.2,2.1,0,50.7,47,5.8,11,11,5.2,,2.6,3.4,4.1,0.42,,,,,,,,,,,,,,,,,,,352.3,14.2,25,352,1.5,0.19,0.52,4.4,375.9,0,0.26,0.2,0.6,0,0,76.3,,4.3,,,,USDA NRCS Kellogg Soil Survey Laboratory,
32d92159-38e0-4d8a-92a4-0032e29fc7bd,HEAL_046.basePlot.all,D19,HEAL,HEAL_046,S2017AK068046,3/20/2017,18N03030,C/Ajj,6/22/2018,S2017AK068046-3,bulk,25,70,47.5,1.036,,,5.5,0.1,1.9,0,26.6,33,7.5,28,11.2,3.7,,28.7,4.1,4.5,0.11,,0,1,0.2,0,0.2,0.2,93.1,0.6,0.1,0.7,0.4,0,0,0,4.8,,0.2,78.5,3.7,21,79,0.3,0.22,0.91,130.4,604.1,0.03,0.3,0.2,1.4,0,0.1,32.7,,2.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
87368dde-b403-43e4-a998-77a43c7dbcb3,HEAL_046.basePlot.all,D19,HEAL,HEAL_046,S2017AK068046,3/20/2017,18N03028,Oe,6/22/2018,S2017AK068046-1,bulk,0,12,6,1.123,0,,7.2,2.3,3.3,0,62.6,15,12.8,20,15.1,2.3,,441.8,3.4,4.1,1.32,,,,,,,,,,,,,,,,,,,443.8,13.4,33,444,1.1,0.12,0.33,494,612.5,0,0.22,0.1,0.6,0.1,0.1,92.4,,78.9,,,,USDA NRCS Kellogg Soil Survey Laboratory,
b66dec55-e3dc-4b4b-9c4b-d9e217438c3d,HEAL_045.basePlot.all,D19,HEAL,HEAL_045,S2017AK068045,3/20/2017,18N03023,Oi,6/22/2018,S2017AK068045-1,bulk,0,7,3.5,1.148,0,,6.8,2,4.5,0,80.6,19,13.3,17,16.5,3.2,,160,,,1.91,,,,,,,,,,,,,,,,,,,469.4,16.2,29,469,0.9,0.2,1.23,133.1,466.3,0.01,0.83,0.2,1.5,0,0.1,117.1,,,,,,USDA NRCS Kellogg Soil Survey Laboratory,
8d4f4ce5-73a8-4592-aff9-8bfc6c03b50d,HEAL_047.basePlot.all,D19,HEAL,HEAL_047,S2017AK068047,3/20/2017,18N03033,Cf,6/22/2018,S2017AK068047-3,bulk,21,70,45.5,1.023,,,3.2,0.2,1.8,0,16.9,36,5.2,31,8.1,2.9,,4.3,4,4.9,0.09,,0,0.8,0.2,0,0.18,0.1,76.1,1,0.1,0.7,0.4,0,0,0,4.8,,0.1,35.9,1.7,21,36,0.2,0.12,0.81,4.1,166.9,0.02,0.23,0.1,1.1,0,0,21,,0.9,,,,USDA NRCS Kellogg Soil Survey Laboratory,
8e483055-3a41-4b6d-be63-7c296b1b048f,HEAL_047.basePlot.all,D19,HEAL,HEAL_047,S2017AK068047,3/20/2017,18N03032,A,6/22/2018,S2017AK068047-2,bulk,17,21,19,1.066,0,,13.3,0.6,6.4,0.1,48.8,4,20.4,42,21.2,0.8,,16.1,,,1.19,,,,,,,,,,,,,,,,,,,221.9,11.2,20,222,1.1,0.15,1.04,16.9,534.6,0.02,0.47,0.2,1.5,0,0.1,57.4,,3.8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
