uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF
d9f76b90-be87-422d-b53b-4bfede8ec8ae,TOOL_022.basePlot.all,D18,TOOL,TOOL_022,S2018AK185122,8/14/2018,19N00241,Oe,11/9/2018,S2018AK185122-1,bulk,0,11,5.5,1.076,0,,34.8,2.3,7.1,0.3,80,,,,,2.5,,134.9,4.3,4.9,1.23,,0,0.6,0.2,0,0.18,0.1,1979.7,0.4,0.6,0.2,0.2,0,0,0.3,5,,0.1,484.2,16.4,30,484,1.3,0.17,0.36,1250.4,157.7,0.01,0.12,0.2,0.4,0.2,0.1,93.2,,22.9,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
7fc2c977-f530-4b62-9191-38b24fcaf45e,TOOL_009.basePlot.all,D18,TOOL,TOOL_009,S2018AK185109,8/14/2018,19N00216,Cfg,11/8/2018,S2018AK185109-3,bulk,31,100,65.5,1.011,,,1,0.1,0.3,0,9.4,,,,,2.6,,10.9,3.8,4.4,0.13,,,,,,,,,,,,,,,,,,,40,1.9,21,40,0.4,0.11,0.46,16.3,64,0.01,0.18,0.1,0.7,0,0,18.5,,8,,,,USDA NRCS Kellogg Soil Survey Laboratory,
c059f03a-755a-4783-b93e-8aeddb4c39ad,TOOL_022.basePlot.all,D18,TOOL,TOOL_022,S2018AK185122,8/14/2018,19N00242,Bw,11/9/2018,S2018AK185122-2,bulk,11,24,17.5,1.012,,,2.6,0,0.7,0,10.6,,,,,2.6,,50.7,4.2,5.1,0.07,,,,,,,,,,,,,,,,,,,22,1.3,17,22,0.1,0.13,0.54,248.2,131.7,0.02,0.12,0.1,1.1,0,0.1,16.6,,1.1,,,,USDA NRCS Kellogg Soil Survey Laboratory,
317420d6-f02d-4079-8c5e-6241312e188c,TOOL_013.basePlot.all,D18,TOOL,TOOL_013,S2018AK185113,8/14/2018,19N00220,Oi,11/8/2018,S2018AK185113-1,bulk,0,17,8.5,1.096,,,39.5,5.2,17.5,0.4,97.8,,,,,0.9,,1544.9,4.4,5.2,1.69,,0,0.3,0.4,0,0.21,0,2902.1,0.6,0.7,0.2,0.6,0,0,0,5.1,,0.1,450.8,10.3,44,451,1,0.17,0.57,1775.5,134.1,0.02,0.1,0.2,0.7,0.3,0,85.4,,26.3,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
9cedf195-861b-428f-b467-128cf8a1a97d,TOOL_019.basePlot.all,D18,TOOL,TOOL_019,S2018AK185119,8/14/2018,19N00231,Oi,11/8/2018,S2018AK185119-1,bulk,0,12,6,1.089,0,,64.6,2.4,6.9,0.1,72.7,,,,,0,,201.2,5,5.4,1.03,,0,1.4,0.2,0,0.25,0.1,1067.5,0.8,0.8,0.3,0.2,0,0,0.6,5.5,,0.1,497.2,14.2,35,497,1.1,0.06,0.67,1106.5,115.7,0.02,0.13,0.1,0.7,0.1,0,77.6,,11.1,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
dc3a2380-13b1-4540-b5dd-647edb479c4a,TOOL_019.basePlot.all,D18,TOOL,TOOL_019,S2018AK185119,8/14/2018,19N00234,Bw2,11/9/2018,S2018AK185119-4,bulk,46,66,56,1.013,,,3.1,0.1,0.2,0.1,13.3,,,,,2.6,,22.3,4,5,0.06,,,,,,,,,,,,,,,,,,,53.6,2.9,18,54,0.1,0.15,0.55,38.2,48.2,0.01,0.21,0.1,0.6,0,0,21.5,,1.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
f565c027-c96b-452c-bdbd-311d17e4289f,TOOL_019.basePlot.all,D18,TOOL,TOOL_019,S2018AK185119,8/14/2018,19N00232,Oe,11/8/2018,S2018AK185119-2,bulk,12,34,23,1.088,,,55.3,0.7,4.1,0.2,119.6,,,,,0.1,,106,4.9,5.5,0.47,,0,0.9,0.1,0,0.15,0,849.9,0.4,0.1,0.2,0.3,0,0,0,5.5,,0.2,443.7,24.5,18,444,2.9,0.35,3.96,883,203.9,0.03,1.12,0.3,4.1,0.1,0,109.7,,0.7,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
761469ce-078d-45ea-b27b-dde5d95b0123,TOOL_022.basePlot.all,D18,TOOL,TOOL_022,S2018AK185122,8/14/2018,19N00243,BC,11/9/2018,S2018AK185122-3,bulk,24,40,32,1.013,,,1.8,0,0.3,0,11,,,,,2.7,,50.2,4.2,5,0.04,,,,,,,,,,,,,,,,,,,41,2.4,17,41,0.2,0.16,0.6,59.1,162.4,0.01,0.18,0.2,1.4,0,0,21.3,,2.3,,,,USDA NRCS Kellogg Soil Survey Laboratory,
024ff2d0-837e-4c7c-979c-fbd310eaf96e,TOOL_013.basePlot.all,D18,TOOL,TOOL_013,S2018AK185113,8/14/2018,19N00222,Cg1,11/8/2018,S2018AK185113-3,bulk,31,55,43,1.017,,,1.2,0.2,0.4,0,16.9,,,,,4.9,,16,4,5,0.04,,,,,,,,,,,,,,,,,,,61.3,3.2,19,61,0.3,0.26,0.77,40.5,77.9,0.02,0.25,0.2,1.2,0,0,28.4,,0.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
f4faf8de-4af6-4a42-a061-dd79cd619262,TOOL_023.basePlot.all,D18,TOOL,TOOL_023,S2018AK185123,8/14/2018,19N00248,C,11/9/2018,S2018AK185123-5,bulk,60,105,82.5,1.006,,,1.3,0.1,0.3,0,4.4,,,,,0.8,,5.1,4.5,5.3,0.03,,,,,,,,,,,,,,,,,,,4,0.4,10,4,0,0.07,0.13,605.5,109.6,0.01,0.04,0.2,2.2,0.1,0,6,,20.6,,,,USDA NRCS Kellogg Soil Survey Laboratory,
ed9014f1-42ae-4095-bffb-e132787fa146,TOOL_019.basePlot.all,D18,TOOL,TOOL_019,S2018AK185119,8/14/2018,19N00233,Bw1,11/9/2018,S2018AK185119-3,bulk,34,46,40,1.014,,,1.9,0.1,0.2,0,12.3,,,,,1.9,,6.8,4.1,5,0.05,,,,,,,,,,,,,,,,,,,59.8,2.9,20,60,0.3,0.16,0.49,13.1,42.4,0.01,0.22,0.1,0.7,0,0,22,,1.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
ca662b3d-ab8e-4084-be4f-0ae25572c4f8,TOOL_023.basePlot.all,D18,TOOL,TOOL_023,S2018AK185123,8/14/2018,19N00245,E/A,11/9/2018,S2018AK185123-2,bulk,1,9,5,1.021,,,1.4,0.2,0.4,0,20.2,,,,,7.1,,28,3.8,4.5,0.07,,,,,,,,,,,,,,,,,,,71.5,4,18,72,0.3,0.19,0.49,31.8,275.7,0.01,0.15,0.2,1.8,0,0.1,37.6,,0.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
4f2be23a-7799-47ac-9ff8-b5c62a132621,TOOL_019.basePlot.all,D18,TOOL,TOOL_019,S2018AK185119,8/14/2018,19N00235,Cjjf,11/9/2018,S2018AK185119-5,bulk,66,100,83,1.029,,,7.5,0.1,0.5,0.1,26.7,,,,,0.4,,466.3,4.2,5.1,0.2,,,,,,,,,,,,,,,,,,,123,6.6,19,123,0.5,0.2,2.95,140.5,102.3,0.02,0.73,0.2,2.8,0,0,73.5,,0.3,,,,USDA NRCS Kellogg Soil Survey Laboratory,
2b515eb8-5a9d-4c7c-8585-34f98b0f3125,TOOL_023.basePlot.all,D18,TOOL,TOOL_023,S2018AK185123,8/14/2018,19N00246,Bw,11/9/2018,S2018AK185123-3,bulk,9,27,18,1.011,,,0.6,0,0.2,0,8.8,,,,,3.2,,4.7,4,4.8,0.03,,,,,,,,,,,,,,,,,,,13,1.1,12,13,0.1,0.19,0.67,523.5,114.2,0.01,0.16,0.3,3,0.1,0.1,17.1,,1.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
9e195465-03c5-48c2-b0f7-dae4ca8706ea,TOOL_022.basePlot.all,D18,TOOL,TOOL_022,S2018AK185122,8/14/2018,19N00244,Cjjf,11/9/2018,S2018AK185122-4,bulk,40,100,70,1.023,,,3,0,0.4,0,19,,,,,2.7,,136.6,4.3,5,0.06,,,,,,,,,,,,,,,,,,,88.9,4.9,18,89,0.4,0.3,1.64,264.7,337.7,0.03,0.47,0.2,1.9,0,0,34.1,,1.1,,,,USDA NRCS Kellogg Soil Survey Laboratory,
0b41f9ec-9b75-4664-9401-afafc4e3c665,TOOL_009.basePlot.all,D18,TOOL,TOOL_009,S2018AK185109,8/14/2018,19N00215,Cg,11/8/2018,S2018AK185109-2,bulk,22,31,26.5,1.011,,,0.4,0,0.1,0,9.5,,,,,1.9,,5.7,3.9,4.4,0.15,,,,,,,,,,,,,,,,,,,35.9,2,18,36,0.5,0.12,0.38,10.1,41.3,0.01,0.17,0.1,0.6,0,0,18,,5.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
0241550b-fdfd-42ca-b6e0-4e1896d21886,TOOL_023.basePlot.all,D18,TOOL,TOOL_023,S2018AK185123,8/14/2018,19N00247,BC,11/9/2018,S2018AK185123-4,bulk,27,60,43.5,1.007,,,0.6,0,0.1,0,5.3,,,,,1.4,,1.7,4.4,5.1,0.03,,,,,,,,,,,,,,,,,,,5,0.7,7,5,0,0.13,0.22,522.3,131.3,0.01,0.07,0.2,2.1,0.1,0.1,11.1,,18.1,,,,USDA NRCS Kellogg Soil Survey Laboratory,
b8d788b2-9817-458d-81bf-5be5267c3d09,TOOL_013.basePlot.all,D18,TOOL,TOOL_013,S2018AK185113,8/14/2018,19N00223,Cg2,11/8/2018,S2018AK185113-4,bulk,55,140,97.5,1.018,,,1.6,0.2,0.5,0,18.1,,,,,3.6,,20.6,4,5,0.06,,,,,,,,,,,,,,,,,,,72.7,3.8,19,73,0.3,0.27,0.61,35.9,84.1,0.01,0.26,0.2,0.9,0,0,30.3,,5.4,,,,USDA NRCS Kellogg Soil Survey Laboratory,
9278b850-8e67-4363-b2d4-ff8e08441c96,TOOL_009.basePlot.all,D18,TOOL,TOOL_009,S2018AK185109,8/14/2018,19N00214,Oe,11/8/2018,S2018AK185109-1,bulk,0,22,11,1.09,0,,12.2,1,3.2,0.1,74.3,,,,,3.8,,116.7,4.2,4.9,0.7,,0,0.4,0.2,0,0.24,0.1,471,0.4,0.3,0.2,0.4,0,0,0,4.9,,0.2,436.1,25.1,17,436,2,0.37,3.24,136.5,914.2,0.02,0.96,0.4,3.3,0,0,121.3,,10.4,,,,USDA NRCS Kellogg Soil Survey Laboratory,
3402769c-864d-417f-b0dd-5229498733b5,TOOL_013.basePlot.all,D18,TOOL,TOOL_013,S2018AK185113,8/14/2018,19N00221,Oa,11/8/2018,S2018AK185113-2,bulk,17,31,24,1.088,0,,7.8,0.6,2.4,0.2,82.9,,,,,2.4,,2241.6,4.4,5.3,0.64,,0,0.2,0.2,0,0.22,0,548.1,0.4,0.1,0.1,0.2,0,0,0,5.2,,0.3,308.2,15.6,20,308,1.6,0.58,8.99,3675.1,292.2,0.08,1.6,0.6,8.9,0.4,0.2,134.8,,0.4,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
b8bae69c-e749-4e8c-b13a-4a89f7155e2f,TOOL_003.basePlot.all,D18,TOOL,TOOL_003,S2018AK185103,8/15/2018,19N00205,Oe2,11/7/2018,S2018AK185103-3,bulk,20,39,29.5,1.075,,,24.5,0,1.6,0,52.1,,,,,0.3,,230.2,4.9,5.8,0.31,,0,0.7,0.1,0,0.1,0,952.2,0.3,0,0.1,0.2,0,0,0,5.7,,0.2,351.1,22,16,351,3.7,0.23,1.37,279.5,3.2,0,0.94,0.3,2,0,0,100.4,,0.6,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
d34aadf4-efa6-4fa0-bd89-4d34cffba869,TOOL_017.basePlot.all,D18,TOOL,TOOL_017,S2018AK185117,8/15/2018,19N00226,A/Bwjj(A),11/8/2018,S2018AK185117-3A,bulk,17,38,27.5,1.019,,,1.6,0.1,0.5,0,17.4,,,,,5.4,,3.6,3.8,4.6,0.06,,,,,,,,,,,,,,,,,,,77.3,3.4,23,77,0.5,0.22,0.45,69.2,455.2,0.01,0.21,0.3,1.6,0,0.1,32.8,,2.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
cc22925f-0daf-486e-b617-966255790f69,TOOL_028.basePlot.all,D18,TOOL,TOOL_028,S2018AK185128,8/15/2018,19N00250,Oe2,11/9/2018,S2018AK185128-2,bulk,14,25,19.5,1.065,,,16.3,0.5,3.1,0.1,53.2,,,,,2,,406.4,4.5,5.2,,,0,0.5,0.1,0,0.13,0,520.2,0.3,0.1,0.2,0.3,0,0,0,5.1,,0.1,307.6,18,17,308,1.5,0.46,2.41,983.4,516.1,0.04,0.66,0.6,2.9,0.1,0.1,94.9,,1.4,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
4ecae7e8-6ee2-4c80-8026-d9df8ebc4cd6,TOOL_036.basePlot.all,D18,TOOL,TOOL_036,S2018AK185136,8/15/2018,19N00267,Oe,11/13/2018,S2018AK185136-1,bulk,0,12,6,1.081,0,,20,2.5,4.6,0.1,73.9,,,,,0.5,,1040.8,3.9,4.6,1.07,,0,0.6,0.3,0,0.24,0.2,1020,0.1,0.9,0.2,0.2,0,0,0.3,4.5,,0.1,471,10.3,46,471,1.3,0.07,0.32,948.7,192.7,0.01,0.16,0.1,0.4,0.1,0,102,,63.8,,,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
a7c44dd5-45aa-4651-99c1-19de04b544bb,TOOL_071.basePlot.all,D18,TOOL,TOOL_071,S2018AK185171,8/15/2018,19N00275,Cg,11/13/2018,S2018AK185171-4,bulk,36,52,44,1.026,,,4.1,0.2,0.5,0,21.8,,,,,2.3,,176,4.2,5,0.16,,,,,,,,,,,,,,,,,,,72.6,4.7,15,73,0.5,0.26,2.62,278.8,262.4,0.03,0.41,0.3,3.8,0,0,41,,0.2,,,,USDA NRCS Kellogg Soil Survey Laboratory,
c250ab3b-39c3-44bf-a1d5-fe5231b5be73,TOOL_002.basePlot.all,D18,TOOL,TOOL_002,S2018AK185102,8/15/2018,19N00202,Cf2,11/7/2018,S2018AK185102-6,bulk,72,100,86,1.019,,,4.2,0.2,0.5,0,16.6,,,,,1.9,,137.4,4.3,4.9,0.13,,,,,,,,,,,,,,,,,,,58.3,3.7,16,58,0.3,0.17,1.45,410.7,126,0.03,0.4,0.1,1.1,0,0,26.7,,1.9,,,,USDA NRCS Kellogg Soil Survey Laboratory,
61d5391d-a0ce-4ead-afac-93214078f177,TOOL_036.basePlot.all,D18,TOOL,TOOL_036,S2018AK185136,8/15/2018,19N00270,Cg,11/13/2018,S2018AK185136-4,bulk,31,47,39,1.018,,,3.3,1,0.4,0,14.9,,,,,2.2,,129.6,4.2,5.1,0.07,,,,,,,,,,,,,,,,,,,66.4,3.7,18,66,0.5,0.26,1.52,241.6,126.9,0.02,0.35,0.3,2.8,0,0,32.4,,2.7,,,,USDA NRCS Kellogg Soil Survey Laboratory,
23ab007a-9397-4c34-a833-104d571521a5,TOOL_002.basePlot.all,D18,TOOL,TOOL_002,S2018AK185102,8/15/2018,19N00199,Bw,11/7/2018,S2018AK185102-3,bulk,23,33,28,1.013,,,3,0.1,0.6,0,11.2,,,,,1.8,,13.2,4.4,5.4,0.05,,,,,,,,,,,,,,,,,,,25.4,1.6,16,25,0.2,0.12,0.63,31.3,41.4,0.01,0.13,0.1,1.1,0,0,17.5,,0.5,,,,USDA NRCS Kellogg Soil Survey Laboratory,
