jar_num,site,top,bottom,mid,trmt,sommos_horizon,,OC.g100g
2,HEALY,12,24,18,CON,A-horizon,,39.45
11,HEALY,12,24,18,FTC,A-horizon,,39.45
1,HEALY,16,30,23,CON,,,39.45
12,HEALY,16,30,23,FTC,,,39.45
18,HEALY,24,33,28.5,CON,,,10.92
20,HEALY,24,33,28.5,FTC,,,10.92
21,HEALY,28,34,31,CON,,,10.92
13,HEALY,28,34,31,FTC,,,10.92
30,HEALY,30,38,34,CON,,,10.92
15,HEALY,30,38,34,FTC,,,10.92
3,HEALY,40,54,47,CON,,,5.42
9,HEALY,40,54,47,FTC,,,5.42
5,TOOL,28,38,33,CON,,,38.21
28,TOOL,28,38,33,FTC,,,38.21
8,TOOL,30,40,35,CON,,,38.21
23,TOOL,30,40,35,FTC,,,38.21
17,TOOL,38,44,41,CON,,,38.21
22,TOOL,38,44,41,FTC,,,38.21
6,TOOL,40,50,45,CON,,,11.93
16,TOOL,40,50,45,FTC,,,11.93
4,TOOL,41,54,47.5,CON,,,11.93
14,TOOL,41,50,45.5,FTC,,,11.93
26,TOOL,44,58,51,CON,,,11.93
10,TOOL,44,58,51,FTC,,,11.93
7,TOOL,50,58,54,CON,,,11.93
25,TOOL,50,60,55,CON,,,11.93
19,TOOL,50,58,54,FTC,,,11.93
27,TOOL,50,60,55,FTC,,,11.93
24,TOOL,60,67,63.5,CON,,,11.37
29,TOOL,60,67,63.5,FTC,,,11.37
