site,horizon,top,bottom,hue,value ,chroma
BARR,Oie,0.00,16.67,10YR,2,1
BARR,Oae,16.67,64.79,10YR,2,1
BARR,Oaf,64.79,86.13,10YR,2,1
BARR,OACfjj,86.13,109.96,10YR,2,1
BARR,Af,109.96,127.82,10YR,2,1
BARR,W,127.82,152.02,10YR,2,1
BONA,Oea,0.00,14.00,10YR,2,1
BONA,O/BCgjj,14.00,20.00,10YR,3,2
BONA,Bfgjj,20.00,50.00,2.5Y,3,2
BONA,Cfgjj,50.00,165.80,2.5Y,3,2
HEAL,Oei,0.00,10.25,10YR,2,1
HEAL,Oae,10.25,26.00,10YR,2,1
HEAL,Afjj,26.00,45.80,10YR,2,1
HEAL,BCfgjj,45.80,59.20,2.5Y,2.5,1
HEAL,OACfjj,59.20,73.00,10YR,3,2
TOOL,Oi,0.00,12.00,10YR,2,1
TOOL,Oaef,12.00,44.00,10YR,2,1
TOOL,Af,44.00,63.00,10YR,2,2
TOOL,BCfjj,63.00,79.00,10YR,3,1
