sample,material,quartz,albite,microcline,mica,chlorite,kaolinite,hornblende,rwp,feldspar
H1 24-33,upper mineral,0.5,0.17,0.06,0.17,0.06,0.03,0.01,0.08,0.23
H1 33-50,upper mineral,0.48,0.12,0.07,0.23,0.05,0.04,0.02,0.07,0.19
H1 50-60,lower mineral,0.49,0.16,0.06,0.2,0.06,0.03,0.01,0.07,0.22
H2 28-34,upper mineral,0.45,0.17,0.03,0.22,0.07,0.04,0.02,0.07,0.2
H2 34-47,upper mineral,0.41,0.17,0.04,0.25,0.08,0.04,0,0.07,0.21
H2 47-68,lower mineral,0.46,0.18,0.06,0.2,0.06,0.03,0.02,0.07,0.24
H3 30-38,upper mineral,0.39,0.14,0.05,0.29,0.05,0.06,0.01,0.06,0.19
H3 40-50,lower mineral,0.5,0.15,0.09,0.16,0.06,0.03,0.01,0.07,0.24
T1 40-60,upper mineral,0.82,0.04,0.01,0.06,0.04,0.02,0,0.1,0.05
T1 60-67,lower mineral,0.82,0.05,0.01,0.05,0.05,0.02,0,0.09,0.06
T2 28-38,upper mineral,0.83,0.04,0.01,0.06,0.04,0.02,0,0.1,0.05
T2 38-44,upper mineral,0.78,0.04,0.01,0.08,0.06,0.03,0,0.08,0.05
T2 44-58,lower mineral,0.78,0.03,0.02,0.1,0.05,0.03,0,0.1,0.05
T3 0-14,organic,0.51,0.17,0.04,0.08,0.13,0.06,0,0.07,0.21
T3 14-35,organic,0.51,0.03,0,0.15,0.13,0.15,0.02,0.05,0.03
T3 35-41,upper mineral,0.83,0.05,0.01,0.05,0.04,0.02,0,0.09,0.06
T3 41-50,upper mineral,0.82,0.05,0.01,0.06,0.04,0.02,0,0.1,0.06
T3 50-58,lower mineral,0.82,0.05,0.01,0.06,0.05,0.02,0,0.09,0.06
