"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core"
"1","BARR_501_001","BARR","001","501",-0.02,"Keep",0,"summer2","2","BARR","501","001"
"2","BARR_502_001","BARR","001","502",-0.06,"Keep",0,"summer2","2","BARR","502","001"
"3","BARR_504_001","BARR","001","504",-0.26,"Keep",0,"summer2","2","BARR","504","001"
"4","BARR_505_001","BARR","001","505",-0.36,"Keep",0,"summer2","2","BARR","505","001"
"5","BARR_506_001","BARR","001","506",-0.56,"Keep",0,"summer2","2","BARR","506","001"
"6","BARR_507_001","BARR","001","507",-0.86,"Keep",0,"summer2","2","BARR","507","001"
"7","BARR_508_001","BARR","001","508",-1.36,"Keep",0,"summer2","2","BARR","508","001"
"8","BARR_509_001","BARR","001","509",-1.76,"Keep",0,"summer2","2","BARR","509","001"
"9","BARR_501_002","BARR","002","501",-0.02,"Keep",0,"summer2","2","BARR","501","002"
"10","BARR_502_002","BARR","002","502",-0.06,"Keep",0,"summer2","2","BARR","502","002"
"11","BARR_503_002","BARR","002","503",-0.16,"Exclude",NA,"summer2","2","BARR","503","002"
"12","BARR_506_002","BARR","002","506",-0.56,"Keep",0,"summer2","2","BARR","506","002"
"13","BARR_507_002","BARR","002","507",-0.86,"Keep",0,"summer2","2","BARR","507","002"
"14","BARR_508_002","BARR","002","508",-1.36,"Keep",0,"summer2","2","BARR","508","002"
"15","BARR_509_002","BARR","002","509",-2.26,"Keep",0,"summer2","2","BARR","509","002"
"16","BARR_501_003","BARR","003","501",-0.01,"Keep",0,"summer2","2","BARR","501","003"
"17","BARR_502_003","BARR","003","502",-0.05,"Keep",0,"summer2","2","BARR","502","003"
"18","BARR_503_003","BARR","003","503",-0.15,"Keep",0,"summer2","2","BARR","503","003"
"19","BARR_504_003","BARR","003","504",-0.25,"Keep",0,"summer2","2","BARR","504","003"
"20","BARR_505_003","BARR","003","505",-0.35,"Keep",0,"summer2","2","BARR","505","003"
"21","BARR_506_003","BARR","003","506",-0.55,"Keep",0,"summer2","2","BARR","506","003"
"22","BARR_507_003","BARR","003","507",-0.85,"Exclude",NA,"summer2","2","BARR","507","003"
"23","BARR_508_003","BARR","003","508",-1.35,"Exclude",NA,"summer2","2","BARR","508","003"
"24","BARR_509_003","BARR","003","509",-1.75,"Exclude",NA,"summer2","2","BARR","509","003"
"25","BARR_501_004","BARR","004","501",-0.02,"Exclude",NA,"summer2","2","BARR","501","004"
"26","BARR_502_004","BARR","004","502",-0.06,"Keep",0,"summer2","2","BARR","502","004"
"27","BARR_503_004","BARR","004","503",-0.16,"Keep",0,"summer2","2","BARR","503","004"
"28","BARR_504_004","BARR","004","504",-0.26,"Keep",0,"summer2","2","BARR","504","004"
"29","BARR_505_004","BARR","004","505",-0.36,"Keep",0,"summer2","2","BARR","505","004"
"30","BARR_506_004","BARR","004","506",-0.56,"Keep",0,"summer2","2","BARR","506","004"
"31","BARR_507_004","BARR","004","507",-0.86,"Keep",0,"summer2","2","BARR","507","004"
"32","BARR_508_004","BARR","004","508",-1.36,"Keep",0,"summer2","2","BARR","508","004"
"33","BARR_509_004","BARR","004","509",-1.96,"Keep",0,"summer2","2","BARR","509","004"
"34","BARR_501_005","BARR","005","501",-0.02,"Keep",0,"summer2","2","BARR","501","005"
"35","BARR_502_005","BARR","005","502",-0.06,"Keep",0,"summer2","2","BARR","502","005"
"36","BARR_503_005","BARR","005","503",-0.16,"Keep",0,"summer2","2","BARR","503","005"
"37","BARR_504_005","BARR","005","504",-0.26,"Keep",0,"summer2","2","BARR","504","005"
"38","BARR_505_005","BARR","005","505",-0.36,"Keep",0,"summer2","2","BARR","505","005"
"39","BARR_506_005","BARR","005","506",-0.56,"Exclude",NA,"summer2","2","BARR","506","005"
"40","BARR_507_005","BARR","005","507",-0.86,"Keep",0,"summer2","2","BARR","507","005"
"41","BARR_508_005","BARR","005","508",-1.36,"Keep",0,"summer2","2","BARR","508","005"
"42","BARR_509_005","BARR","005","509",-1.86,"Keep",0,"summer2","2","BARR","509","005"
