"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core","mag.vec","dur.vec"
"1","BARR_501_001","BARR",1,501,-0.02,"Keep",1,"fall",1,"BARR",501,1,"1.5","4"
"2","BARR_502_001","BARR",1,502,-0.06,"Keep",0,"fall",1,"BARR",502,1,"1.5","4"
"3","BARR_503_001","BARR",1,503,-0.16,"Keep",0,"fall",1,"BARR",503,1,"1.5","4"
"4","BARR_504_001","BARR",1,504,-0.26,"Keep",0,"fall",1,"BARR",504,1,"1.5","4"
"5","BARR_505_001","BARR",1,505,-0.36,"Keep",0,"fall",1,"BARR",505,1,"1.5","4"
"6","BARR_506_001","BARR",1,506,-0.56,"Keep",0,"fall",1,"BARR",506,1,"1.5","4"
"7","BARR_507_001","BARR",1,507,-0.86,"Keep",0,"fall",1,"BARR",507,1,"1.5","4"
"8","BARR_508_001","BARR",1,508,-1.36,"Keep",0,"fall",1,"BARR",508,1,"1.5","4"
"9","BARR_509_001","BARR",1,509,-1.76,"Keep",0,"fall",1,"BARR",509,1,"1.5","4"
"10","BARR_501_002","BARR",2,501,-0.02,"Keep",1,"fall",1,"BARR",501,2,"1.5","4"
"11","BARR_502_002","BARR",2,502,-0.06,"Keep",1,"fall",1,"BARR",502,2,"1.5","4"
"12","BARR_503_002","BARR",2,503,-0.16,"Keep",0,"fall",1,"BARR",503,2,"1.5","4"
"13","BARR_504_002","BARR",2,504,-0.26,"Keep",0,"fall",1,"BARR",504,2,"1.5","4"
"14","BARR_505_002","BARR",2,505,-0.36,"Keep",0,"fall",1,"BARR",505,2,"1.5","4"
"15","BARR_506_002","BARR",2,506,-0.56,"Keep",0,"fall",1,"BARR",506,2,"1.5","4"
"16","BARR_507_002","BARR",2,507,-0.86,"Keep",0,"fall",1,"BARR",507,2,"1.5","4"
"17","BARR_508_002","BARR",2,508,-1.36,"Keep",0,"fall",1,"BARR",508,2,"1.5","4"
"18","BARR_509_002","BARR",2,509,-2.26,"Keep",0,"fall",1,"BARR",509,2,"1.5","4"
"19","BARR_501_003","BARR",3,501,-0.01,"Keep",1,"fall",1,"BARR",501,3,"1.5","4"
"20","BARR_502_003","BARR",3,502,-0.05,"Keep",0,"fall",1,"BARR",502,3,"1.5","4"
"21","BARR_503_003","BARR",3,503,-0.15,"Keep",0,"fall",1,"BARR",503,3,"1.5","4"
"22","BARR_504_003","BARR",3,504,-0.25,"Keep",0,"fall",1,"BARR",504,3,"1.5","4"
"23","BARR_505_003","BARR",3,505,-0.35,"Keep",0,"fall",1,"BARR",505,3,"1.5","4"
"24","BARR_506_003","BARR",3,506,-0.55,"Keep",0,"fall",1,"BARR",506,3,"1.5","4"
"25","BARR_507_003","BARR",3,507,-0.85,"Keep",0,"fall",1,"BARR",507,3,"1.5","4"
"26","BARR_508_003","BARR",3,508,-1.35,"Keep",0,"fall",1,"BARR",508,3,"1.5","4"
"27","BARR_509_003","BARR",3,509,-1.75,"Keep",0,"fall",1,"BARR",509,3,"1.5","4"
