"","season","year","depth","N","Def1","sd","se","ci"
"1","fall",1,501,11,4.27272727272727,4.60631976942351,1.38885766723402,3.09456772824313
"2","fall",1,502,11,3.72727272727273,4.38385467575989,1.32178191772188,2.94511364472904
"3","fall",1,503,11,0.727272727272727,1.42062726222673,0.428335235977809,0.954390380956865
"4","fall",1,504,12,0.0833333333333333,0.288675134594813,0.0833333333333333,0.183415430007637
"5","fall",1,505,11,0,0,0,0
"6","fall",1,506,12,0,0,0,0
"7","fall",1,507,12,0,0,0,0
"8","fall",1,508,10,0,0,0,0
"9","fall",1,509,10,0,0,0,0
"10","fall",2,501,8,12.75,8.73007936471861,3.08654915954464,7.29852899639257
"11","fall",2,502,8,9.375,7.48212154787283,2.64532944208143,6.25521015219816
"12","fall",2,503,8,1.625,1.50594061730772,0.53243041128127,1.25899786280121
"13","fall",2,504,6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"14","fall",2,505,7,0,0,0,0
"15","fall",2,506,7,0,0,0,0
"16","fall",2,507,8,0,0,0,0
"17","fall",2,508,5,0,0,0,0
"18","fall",2,509,5,0,0,0,0
"19","fall",3,501,17,7.82352941176471,6.92130130573044,1.67866213825012,3.55860476247851
"20","fall",3,502,19,6.57894736842105,6.07651023270653,1.39404705440835,2.92878418173959
"21","fall",3,503,16,4.75,5.37277085558901,1.34319271389725,2.8629474996355
"22","fall",3,504,14,3.78571428571429,5.43745658060219,1.45322139857663,3.13949396038596
"23","fall",3,505,16,1.375,2.87228132326901,0.718070330817254,1.53053068030039
"24","fall",3,506,14,0,0,0,0
"25","fall",3,507,16,0,0,0,0
"26","fall",3,508,13,0,0,0,0
"27","fall",3,509,14,0,0,0,0
"28","spring",1,501,13,1.07692307692308,1.44115338424578,0.399704032515895,0.870880274115359
"29","spring",1,502,13,0.846153846153846,1.34450448407296,0.372898450570487,0.812475928266008
"30","spring",1,503,12,0.0833333333333333,0.288675134594813,0.0833333333333333,0.183415430007637
"31","spring",1,504,12,0,0,0,0
"32","spring",1,505,11,0,0,0,0
"33","spring",1,506,11,0,0,0,0
"34","spring",1,507,12,0,0,0,0
"35","spring",1,508,10,0,0,0,0
"36","spring",1,509,10,0,0,0,0
"37","spring",2,501,9,23.3333333333333,15.3785564992297,5.12618549974323,11.8210049602315
"38","spring",2,502,9,18.5555555555556,16.8531236801306,5.61770789337686,12.9544576324961
"39","spring",2,503,10,16.4,16.6145852925809,5.25399319036906,11.8853583288864
"40","spring",2,504,9,10.3333333333333,12.9325171563776,4.31083905212585,9.94081268040183
"41","spring",2,505,9,0.666666666666667,1.3228756555323,0.440958551844098,1.01685224400613
"42","spring",2,506,9,0,0,0,0
"43","spring",2,507,9,0,0,0,0
"44","spring",2,508,10,0,0,0,0
"45","spring",2,509,10,0,0,0,0
"46","spring",3,501,17,6.64705882352941,7.01731052888666,1.70194779519757,3.60796815003725
"47","spring",3,502,17,5.17647058823529,5.72533071225636,1.38859666283681,2.9436934240287
"48","spring",3,503,14,4.14285714285714,6.09990091794868,1.6302670948737,3.5219779334278
"49","spring",3,504,13,3.38461538461538,5.72332161042958,1.58736381018269,3.4585686349755
"50","spring",3,505,13,1.07692307692308,1.75411603861406,0.48650425541052,1.06000171337614
